,100 to 105 MW,105 to 110 MW,110 to 115 MW,115 to 120 MW,120 to 125 MW,125 to 130 MW,130 to 135 MW,135 to 140 MW,140 to 145 MW,145 to 150 MW,150 to 155 MW,155 to 160 MW,160 to 165 MW,165 to 170 MW,170 to 175 MW,175 to 180 MW,180 to 185 MW,185 to 190 MW,190 to 195 MW,195 to 200 MW,200 to 205 MW,205 to 210 MW,210 to 215 MW,215 to 220 MW,220 to 225 MW
S613,14653.11452624212,19484.70672380924,20185.175266953433,18831.367727809968,18289.813435628508,22146.028363262303,19976.922277060683,20298.657760626735,20725.024042741945,20926.471091588857,14766.688319116038,23161.58370946308,22223.737947323232,29565.61196908527,23656.129962252144,23125.97781065737,22110.837952301743,25229.90584156114,17754.637739328402,18033.64088252246,22579.17274571164,21452.298320814545,20808.741507173756,24572.415942247473,20733.53091457298
S631,6.136801233828154,4.66436363108941,5.753242724139081,8.40586775642585,5.538513879312022,5.790163427951811,4.80587489024001,4.528996177740155,3.841046889675927,4.590076173022928,3.7391325615006386,1.77853141410228,3.0245002102233873,3.29704431713822,2.3443505903994266,3.218672770808229,3.14306626719257,3.039828841908549,2.92681563444479,3.6927098471587145,3.9019487133768864,2.812177556371153,3.7945428848862015,4.572368364740377,3.3720766967027975
S633,13623.444168931808,18329.29054474906,18666.698894059515,18231.569390719946,16634.146168830503,20446.164393993502,19525.59962598472,18894.571471954252,19871.681334170997,19924.927860845208,13682.223435286278,20705.06942961292,21225.197889613464,27032.645932473642,22288.42444074604,22036.171656533028,20872.688912864072,23125.349552991654,17655.42145714734,17155.649878961944,21344.205640553067,21101.15323696984,19416.47289872362,24178.792989072324,18795.943651817637
S831,5.464937172664406,4.709440530422633,4.388717892186062,5.311780637876167,3.521959003377931,3.7820093548049796,2.292902884834591,2.6113081016858315,2.2742643561817446,2.1062963667208185,3.167909607154485,2.2105579868673657,2.7576124530530626,4.2301202109831095,2.5124060376159334,2.8871958649349407,3.2242085695949916,2.8529508150119867,4.445146212738726,3.5923369336692454,4.502935449628022,3.7908027381188587,4.330951404873374,4.778761193022234,2.9637301280007917
S833,26086.563127062764,36704.34007999531,33594.4939504771,32042.776915491093,31975.116349689368,33266.82674240475,33297.786701196645,35532.957278484326,37264.57513089176,34671.79134913149,24431.770798387435,30527.231574136396,32011.18467403171,35610.31052283986,31499.826944513155,31164.250689998713,26595.01110741158,32733.200418536944,38731.27770232708,36658.87567180901,32520.0122541046,31751.783515784082,35195.92775789975,32406.315677809376,26961.400992275525
S839C,50346.498372269045,63121.90685466509,65306.2937023365,69729.11885625821,63546.252934655306,72605.86734346948,66106.80415635262,64832.49134321338,69332.43678506542,70819.77587189144,56202.93180511996,69279.19507813931,84620.79328256399,84947.21005812717,73847.87219793782,89032.67158241053,79223.16629597405,83566.69426264896,104652.71487480118,92581.91547516483,88698.1558605752,81394.37765249811,88202.30382222346,76537.86218971838,65317.66685936117
BA2007,2.57521491117253,1.9606366014043626,2.2908301918512177,2.083700227377925,2.4821113757468876,2.237794995140249,2.643435523096262,2.185304261998012,2.716973986809103,1.8518487479385934,1.9506043687446017,2.273866173484288,3.037131509250899,3.1398310003294383,2.0668244287081543,3.1117478504727774,4.175918338001042,3.6712735832351995,3.529609679623415,4.953622369899613,4.504275265037774,4.328077206296664,3.5243630122713774,3.173320375639396,2.8557847713556583
BA2051,465.553095422642,408.4498939813389,431.3315376709339,387.8436980211621,408.31804039776574,374.3964849362328,458.48341980951665,445.3162231835501,477.0510015835662,500.29415443272586,458.30974103358517,489.9114752145175,651.2231649934554,682.3455235242349,502.2620357736247,580.2656585341991,456.87417159576813,455.3503366897427,339.4959886287217,431.5345332472226,366.55395433283314,363.17348069296406,318.8109940067232,256.8501354525933,269.21037936680995
BA2052,3.3927426577541837,4.619477272579035,4.376868124453025,5.066107419297226,6.224803636576903,5.11331451457274,7.750450781425788,7.74808047272739,6.590437099354085,7.347928342675327,4.587651145924891,8.162923964054299,7.986638724290248,6.7545355637356845,5.094157859194701,6.309622190458398,9.562899765752231,8.195303698548985,8.014013965470692,5.654974668985577,4.1678561438438315,4.6843536683542455,2.9791803691629606,3.2413592538585743,1.7365891929869677
BA2053,466.2729372422707,421.0669550488282,428.6708942110852,385.92943482219465,411.55327368475787,377.3638677633456,464.0985904518797,449.5673837342504,471.1595664192704,502.6220897105098,457.7240055772633,492.96909244694785,651.1086480815617,684.7363240487498,503.61644518994206,586.8947360095665,469.46324945032217,453.3137364351218,349.0429327518726,427.58666168689706,367.6094888037325,362.52645146921975,325.5851320240867,258.12423602682827,271.1320880146326
BA2054,4.4680876758509775,3.091130472520588,3.0255174093746406,3.4269193173160724,3.7804989137959004,2.8155520947707884,4.937707532260627,4.107127315052202,4.43541345903881,3.0487994653364345,3.2685838063806023,3.088022503341781,4.075349633657709,3.8233395982620357,2.4343832640364202,4.405898281264098,4.820956326181481,4.554547492933221,3.719132867929913,6.527745485178163,4.9951941995741524,4.685319284810392,4.617885929552837,4.213523223325666,3.4669702257552033
BA2503,490.5370688413855,445.78007966342983,440.3338362948185,395.8365109460834,428.14429570847074,389.93491271067387,484.0699568786728,493.92022169622294,513.4519560487253,526.0154323846091,452.90966656946546,493.6678757492275,646.0517047072576,682.0139077734733,494.65961318471733,581.1975526864446,465.80197496231955,460.6182515724816,358.77610708478625,420.0310080336278,361.161420780032,365.54107116138715,321.76629825469223,253.89110868280326,258.46509602498253
BA2504,4.395495246608135,5.525136628105211,4.613809441401812,5.159196511023978,6.780177351229272,6.056013742494355,8.211798576318767,8.262558509292816,6.776622338302114,7.045882649815043,5.639054606469416,7.283406994694674,7.049051772467328,6.57696430003326,5.141737032057615,7.281781860920215,8.221651177039972,7.704277205068745,6.451379365561883,5.348364849067383,3.8696559955489875,3.99029750023278,3.480212305093285,3.2983966482584175,2.2212904436510703
BA2507,2.394156373991664,1.8199700557930951,2.2325336247258702,2.143401859118459,2.5135280297555305,2.2653003448925646,2.7369380664156333,2.215498222930553,2.6457689633867516,2.002456141031322,1.943548369287042,2.5724262049469155,3.264549202919676,3.5408765778985556,2.23716766965839,3.480252252719816,4.503630134828756,4.033719087083528,3.970904071539542,5.038198335609976,4.5185321390911115,4.142332150527723,3.5268679484411183,2.992078276268013,2.72001775291282
BA2551,467.73530247531636,415.5993056030843,433.01537669007837,388.37402376272456,408.07481353685137,378.09339570230475,460.4464782804351,446.9344574126889,477.50382163192285,503.2300314034058,455.7308782950967,491.24351716258803,657.3903701512461,689.3326236998188,508.95155072468856,584.8503300466551,467.79073214010185,456.60558885195616,347.35560397651045,433.08220032126206,366.4919700065068,357.65586369425483,316.9877100305546,252.92434976158202,265.94305700271235
BA2552,3.7266498108532615,5.862358224852192,4.281872584250175,4.832271634388471,7.371766564618738,6.453686870272441,9.084355703501178,9.472485705038112,7.7045434177500205,8.253540031654307,6.521643163121843,8.458628832288074,8.36121198161767,9.059784179684518,6.377169079236242,7.640730216898426,9.017072022524735,9.19740998412657,8.276056657656707,5.660878333221467,4.728176428944688,4.9989851753122725,3.687068940837772,3.662799585362305,2.436499295856396
BA2553,465.05628010013015,415.04149441298216,426.34258455840944,382.8790212831446,407.43038612970645,376.3990819516671,464.9273537219379,443.8266158024867,469.1516137384223,499.7990669754586,455.32155799671204,498.3482262053164,654.0487295083892,686.9025200925311,512.1149960816199,585.5559129493241,484.6877906884433,460.6399051035312,353.79658319815303,431.68453261349947,371.79510378568597,367.8458749629371,330.4522393625102,260.61850101069336,270.2426418092793
BA2554,4.246289491661384,3.31501306949577,3.165006601537578,3.5268476841266154,3.99164256821019,3.188642942389685,5.095803864994833,4.257207222689237,4.255077983724544,3.177399209920871,2.9686445288194,3.406858104966574,4.432870346406971,4.53682708633654,2.6699525551940866,4.7614661527334,5.339423943558668,5.241984322123898,4.476520843062084,6.750021098051377,5.139179080989621,4.655045301991296,4.502179369576949,3.912517490667567,3.264252043872675
BF2001,479.61506364771355,406.6151556819057,428.0687567597053,381.1797468609472,428.7361091718201,388.47096894670034,462.7763145487511,462.8315492153105,489.54268187487287,498.7149753803832,473.60844923923185,490.0835216036088,655.0662237253604,679.6941489892215,512.08927170217,577.5786253330807,445.5024807588064,478.4198072800956,386.37130619796204,471.59523858737487,385.38973508099195,388.0321505307986,328.2220922693285,241.32436321118368,250.1231048828046
BF2002,2.220426657054892,2.2307732448779034,2.561354515438578,1.6519776568964406,2.3664841221090636,2.4114113186782644,1.671882308788491,1.7810921164800324,2.07256172383413,2.5709083479943398,2.810811291901501,2.222012521191898,2.7085526563215154,3.579307041901354,2.0962357047816025,2.97129955713712,4.206058830290861,3.477966108773905,3.865382552241654,3.7637753149779307,4.367170829559785,4.052121704668428,2.7762870105824966,2.47446103343482,2.478238318984363
BF2003,4.444711988996354,4.643711362179541,4.961277129213763,5.286764485010766,6.346524367045416,5.196484176312331,7.671706791000104,7.527628416944022,6.437208561090634,6.91932475339621,4.893774539575537,7.498418348288796,7.095562219746186,4.752520061463048,4.230819503812622,6.737367693444113,8.228266246842496,6.923314454504835,5.92769842646045,4.846273499947321,3.390417775565091,3.8226962467612555,3.290352507214362,3.125683798939014,2.319151664087653
BF2501,482.223622396288,427.53284076970317,431.36963759260453,386.5610391439544,429.86161433338845,365.0041600517466,463.5260575357698,449.90958536408755,489.81824641562673,526.0849337618816,480.01697120151823,490.74050382574103,657.4863473253605,685.6065468542665,523.4749140639933,589.5377583132239,422.03399696876687,426.41245694563156,353.5072487506756,454.45084282745177,400.27874425252867,359.1950313776781,304.2883839253084,235.44089248319034,256.3431494990465
BF2502,2.203652611815329,1.699990132880474,2.1463778573987797,1.6423212268778784,2.2534158297581226,2.184994841000943,1.5814215383585624,1.6966111457080766,1.997136532798239,2.544830082270555,2.758450469810022,2.1139928491021744,2.6215944707314205,3.5386490899992618,2.0142894154508824,3.0142776467178307,4.161946383105116,3.350439944833488,3.879811591246832,3.5131197038106294,4.278361876912738,3.951143257837963,2.917176530095676,2.5282697297230756,2.489138787886867
