,model0,model1,model3,model4,model5,model6
WinterNYCapRes_2030,-165.95848107170522,-84.33870814017034,-67.36917215814609,51.514685375364884,67.99880189276504,108.89974331731638
BaseCaseTaxCapRes_2030,-74.67519896618964,26.819588039775127,-57.73506945529246,64.20344919991516,90.09637962544014,8.029372502333494
HighWindTaxCapRes_2030,-82.85398488340279,12.627052689242042,-60.54824683795865,72.8210802943322,88.0967628018031,25.503524365242928
HighSolarTaxCapRes_2030,-79.28957547228886,16.083885963619153,-54.291056157592074,76.79326412261508,94.23434143715792,26.17893866108614
WinterNYTaxCapRes_2030,-71.6225995568681,30.975359627074987,-62.85763599855157,63.75817308471065,84.54371897110103,-1.9238914545642627
NETL_ERCOT_GEN_0,-167.03569595954534,-76.37192127997182,-134.39360803495097,-4.892708218648848,17.814907112905704,51.57259441608849
NETL_ERCOT_GEN_25,-139.8180204090066,-23.670688955695677,-132.86599372738797,-3.075684626170338,23.721804115710505,-3.0248880521807244
NETL_ERCOT_GEN_50,-98.80818554079369,20.387606257024757,-118.65229203439159,35.270324735237594,42.87812288352279,-34.25374992467467
NETL_ERCOT_GEN_100,-10.226122823748284,110.84515373556926,-44.68428181890398,121.4736313511334,126.42004326757171,-50.67369685525598
NETL_ERCOT_GEN_250,256.8621417564686,377.9510424713561,221.54998513604298,388.33923935967755,418.2156526701349,-56.12821393333557
