,mass flow (kg/s),mole flow (kmol/s),mole percent Ar (%),mole percent CO2 (%),mole percent H2 (%),mole percent H2O (%),mole percent N2 (%),mole percent O2 (%),pressure (bar),temperature (K),vapor fraction (%),volumetric flow (m**3/s)
sweep04,365.8926431692073,12.545150004647882,0.8290586356117636,0.027034520726470543,,0.8921391839735284,69.67697141902343,28.574796240664803,1.2,934.1727649427207,,812.2630247560564
sweep05,365.8926431692073,12.545150004647882,0.8290586356117637,0.027034520726470543,,0.8921391839735284,69.67697141902343,28.574796240664806,1.2,945.4131843160592,,822.0346627827718
water00,55.850904566470284,3.100198374316179,,,,100.0,,,1.0130000000000001,288.15000000000225,0.0,0.055901069638885116
water01,55.850904566470284,3.100198374316179,,,,100.0,,,1.0130000000000001,325.32885819443976,0.0,0.056584574402957014
water02,55.850904566470284,3.100198374316179,,,,100.0,,,0.4,325.34142552325693,0.0,0.05658644420623548
water03a,6.801223351936573,0.3775255162419217,,,,100.0,,,0.4,325.34142552325693,0.0,0.006890793420909982
water03b,3.8515969963769328,0.21379626416753458,,,,100.0,,,0.4,325.34142552325693,0.0,0.003902321372091638
water03c,4.996612543660829,0.2773543276547886,,,,100.0,,,0.4,325.34142552325693,0.0,0.005062416430257446
water03d,13.557023046328785,0.752529634659267,,,,100.0,,,0.4,325.34142552325693,0.0,0.013735564968347566
water03e,18.27130211487858,1.0142120625060134,,,,100.0,,,0.4,325.34142552325693,0.0,0.018511929676418327
water03f,8.373146513288594,0.4647805690866543,,,,100.0,,,0.40000000000000013,325.34142552325693,0.0,0.008483418338210529
water04a,6.801223351936573,0.3775255162419217,,,,100.0,,,0.4,349.8397653251447,100.0,27.224968724786816
water04b,3.8515969963769323,0.21379626416753456,,,,100.0,,,0.4,349.8397653251447,100.0,15.417756827084235
water04c,4.99661254366083,0.2773543276547887,,,,100.0,,,0.4,349.8397653251447,100.0,20.001198783202703
water04d,13.557023046328782,0.7525296346592669,,,,100.0,,,0.4,349.8397653251447,100.0,54.26810874141062
water04e,18.27130211487858,1.0142120625060134,,,,100.0,,,0.4,349.8397653251447,100.0,73.13914025438693
water04f,8.373146513288594,0.4647805690866543,,,,100.0,,,0.40000000000000013,349.8397653251447,100.0,33.517301249551075
