,NGCC profit (M$),SOFC profit (M$),NGCC+SOEC profit (M$),rSOC profit (M$),SOFC+SOEC profit (M$),SOEC profit (M$),Natural Gas Price ($/MMBtu),Carbon Tax ($/tonne),Hydrogen Price ($/kg),Mean LMP ($/MWh),Minimum LMP ($/MWh),25th Percentile ($/MWh),50th Percentile ($/MWh),75th Percentile ($/MWh),Maximum LMP ($/MWh),Standard Deviation ($/MWh),Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Dip Test p-value
HighSolar_2030_25,-116.8734437,-33.56898157,49.19687068,168.7165169,192.3750622,173.5655839,2.94,0,2.5,30.12822897,-111.2865714,18.772,22.773,27.41026977,1800,91.83028677,14.24656195,224.0559508,0.898296668,0.046175794,0
HighWindCapRes_2030_25,-170.999307,-95.5684177,9.438979993,134.9025445,144.6228407,199.2863544,2.94,0,2.5,20.10986133,-330.0078845,17.74400006,19.98099999,23.24599993,111.6506988,8.712783232,-16.80026318,641.2076067,0.439684953,0.052328708,0
HighWindTaxCapRes_2030_25,-81.82094488,12.62705269,11.70074265,98.38632593,160.125883,98.72922455,2.94,60,2.5,37.48910137,-3.80E-06,36.58900079,40.10000003,46.57699799,202.8804025,23.90980952,1.274886734,8.244159549,0.23346309,0.087720608,0
HighWindTax_2030_25,-36.90980187,56.43573378,45.53167044,144.5629384,198.4965178,86.11043828,2.94,60,2.5,45.06063183,-1.61E-07,36.58899998,43.4000026,48.71099863,1800.000003,89.50459325,15.12899956,263.4350975,0.862820789,0.091323837,0
HighWind_2030_25,-120.260872,-33.20322062,43.8494912,156.1791604,187.1130775,169.4104942,2.94,0,2.5,30.24979597,-113.2815693,19.02499999,24.12941556,30.09999996,1349.591576,80.52218078,12.48307212,162.0554336,0.950142081,0.036187199,0
ISO_NE_2019_25,-145.3675561,-70.77095628,-48.9871879,104.5788791,106.9287952,142.5469883,4.5,0,2.5,30.67519406,-56.16,19.0475,24.55,35.94,261.35,20.56166968,2.80590636,13.04447472,0.552996735,0.001763626,1
ISO_NE_2022_25,-51.452119,63.64741911,-109.3010437,92.43417285,80.12590369,-25.64149385,10.76,0,2.5,84.91544863,-150.91,49.545,65.87,98.705,2254.35,64.92435099,6.741013859,157.4969691,0.289357305,0.002238656,0.994999534
MiNg_$100_CAISO_2035_25,51.86618945,130.8438301,110.2330466,277.0709899,266.0767614,74.23059776,2.26,100,2.5,52.97257669,0,1.17,73.585,91.23,178.28,43.71907064,-0.199731517,-1.568262256,0.725792605,0.156735096,0
MiNg_$100_ERCOT_2035_25,-55.73354711,18.50913219,44.08492211,205.777847,196.4127356,139.5700259,2.64,100,2.5,33.66061126,0,0,30.385,70.13,186.42,35.29746933,0.482471217,-0.945428853,0.599716589,0.07461005,0
MiNg_$100_MISO-W_2035_25,-27.17571321,44.04811322,76.47666692,225.2829549,216.6553947,126.799178,1.69,100,2.5,35.12351419,0,0,42.12,69.24,145.07,34.44692668,0.142891078,-1.714727084,0.793294769,0.10022202,0
MiNg_$100_NYISO_2035_25,-8.565812299,56.6448684,118.637716,266.8719583,252.829338,143.1541591,1.12,100,2.5,35.21884386,0,0,1.41,74.6625,182.14,40.05829425,0.487903694,-1.195248043,0.685603037,0.114545578,0
MiNg_$100_PJM-W_2035_25,32.05098539,111.5527396,99.9284237,229.8311302,239.575204,62.41301579,1.42,100,2.5,48.01168613,0,8.06,63.575,76.9025,172.29,33.47362079,-0.325040878,-1.426971765,0.702420734,0.116823124,0
MiNg_$150_CAISO_2035_25,31.38078023,101.135101,138.5608038,317.4037079,294.6810548,146.8108783,2.26,150,2.5,45.34645604,0,0,1.53,105.405,203.01,53.73638702,0.443520376,-1.643399563,0.881469471,0.116924297,0
MiNg_$150_ERCOT_2035_25,-23.2813038,45.59650186,87.60091585,273.2112574,245.4016508,163.6778676,2.64,150,2.5,36.18433265,0,0,0.18,92.95,204.49,46.60158175,0.660464622,-1.313764678,0.851207558,0.095942041,0
MiNg_$150_MISO-W_2035_25,-53.10631839,10.38669974,87.3191305,261.7734021,231.9560068,191.1595955,2.01,150,2.5,28.1322516,0,0,0.25,70.01,162.06,40.38926288,0.919725797,-0.924047432,0.8887388,0.061314676,0
MiNg_$150_NYISO_2035_25,-8.282207536,52.42128159,152.8379929,307.6893773,288.2417705,186.5404313,1.14,150,2.5,33.67239469,0,0,0.27,92.62,229.17,48.60417613,0.901800383,-0.82216734,0.832197207,0.086154364,0
MiNg_$150_PJM-W_2035_25,52.56338635,126.7467141,150.8132472,291.768611,293.899542,104.1898546,1.43,150,2.5,49.81408539,0,0.15,47.84,98.48,181.06,45.76139962,0.106800672,-1.756959421,0.812981114,0.109772812,0
MISO_INDIANA_2019_25,-150.7290933,-55.76236787,21.7040056,119.7093915,157.0457728,165.2207444,2.73,0,2.5,26.40543493,2.26,20.95,23.33,26.67,936.4,21.65415639,19.41167486,575.7270708,0.652833553,0.002054795,0.997466439
MISO_INDIANA_2022_25,-69.16092643,49.43241446,-111.9407788,85.08368587,92.3574981,-16.64909473,8.04,0,2.5,71.46314954,-4.43,44.3475,58.255,81.5925,2411.71,70.27445867,14.63693097,366.3904192,0.582687418,0.002469096,0.991907678
MISO_LOUISIANA_2019_25,-156.5927654,-64.40877349,20.38166331,121.9274277,155.0150382,173.2350109,2.73,0,2.5,24.85890639,-31.26,20.1,22.67,25.8225,968.31,18.6433652,23.63363018,909.8401734,0.612974606,0.002349458,0.993512883
MISO_LOUISIANA_2022_25,-105.2285015,2.386534552,-146.6776754,51.27127095,53.37785441,0.116978992,8.04,0,2.5,62.47651027,-3.03,40.29,52.905,71.82,2009.43,60.16116204,16.3724742,397.407016,0.671959306,0.00181516,1
MISO_MINNESOTA_2019_25,-164.409681,-101.9657091,-20.08489278,129.1715512,123.7791931,190.5785806,3.73,0,2.5,21.97139498,-38.56,17.17,20.185,23.66,661.22,16.95964077,19.59374883,593.6086388,0.645170561,0.001922149,0.999246166
MISO_MINNESOTA_2022_25,-134.5665478,-60.2615029,-169.3828046,72.41416768,36.2235707,83.63669027,8.04,0,2.5,44.09752968,-62.28,23.52,36.915,55.6825,1781.78,49.09061903,14.55683948,395.1689622,0.534700206,0.001960582,0.998730506
NETL_ERCOT_GEN_0_25,-166.350018,-76.37192128,-56.23467351,65.0502437,95.94188082,129.8186357,4.42,0,2.5,31.13969033,0.126198435,27.87045202,30.13944616,34.36572552,193.1370069,8.657302713,1.346379767,27.21281874,0.093094352,0.010027232,5.53E-06
NETL_ERCOT_GEN_100_25,-9.801910824,110.8451537,-18.35716669,132.0000652,151.9265074,-25.41862444,4.42,110.231,2.5,64.34097498,0.12631382,52.69122853,67.53422322,75.22030767,1167.406372,27.19991149,11.41908212,386.9072781,0.336990607,0.022238921,0
NETL_ERCOT_GEN_250_25,257.2925018,377.9510425,238.7815343,398.6912958,435.2717738,-38.13274013,4.42,275.5775,2.5,111.2647832,0.12631382,80.88683102,125.2687055,140.1447629,1289.150704,56.15034116,4.567944555,90.93322463,0.232781088,0.038743732,0
NETL_ERCOT_GEN_25_25,-139.0831584,-23.67068896,-59.53940604,35.45273929,96.74364337,70.71192332,4.42,27.55775,2.5,40.70200444,0.12631382,34.75317787,40.66943741,45.85093827,345.5538373,11.91936735,4.102797904,88.41411862,0.195076542,0.012511186,0
NETL_ERCOT_GEN_50_25,-98.09194354,20.38760626,-57.66202862,53.5237729,102.755862,27.27470826,4.42,55.1155,2.5,48.45455269,0.12631382,41.41961172,50.32260673,54.47814482,841.2453115,17.64895589,12.84091669,513.1168562,0.321417154,0.023308461,0
NYISO_2019_25,-161.2815648,-90.5323235,7.240605553,143.0523609,146.5643906,201.3130186,3.05,0,2.5,20.09014155,-186.74,14.07,19.18,24.56,356.71,14.83610646,3.199738269,76.66791089,0.141062818,0.001977464,0.998504004
NYISO_2022_25,-86.48905151,4.022428947,-108.7607713,124.7013341,99.37113151,70.36380577,7.57,0,2.5,53.64449087,-410.7,24.7,43.98,66.5375,2829.46,73.75277403,15.1125778,457.6417776,0.497978054,0.004132604,0.45108567
PJM_WEST_2019_25,-142.6590702,-46.96342302,34.68137469,124.3163123,167.6661561,165.9722897,2.43,0,2.5,26.37999397,-52.9956,19.622275,23.1215,27.567725,746.5853,22.95333868,17.2221017,426.5396343,0.692834959,0.002748634,0.977128157
PJM_WEST_2022_25,-33.75765876,91.28148257,-55.15916404,122.1960717,141.4889563,-16.99051867,7.04,0,2.5,74.25228529,-20.2954,44.427075,58.14895,81.378875,3794.4313,118.221723,19.78489554,478.5809901,0.81490188,0.002474952,0.991829102
SPP_NORTH_2019_25,-146.3529604,-79.34868924,30.81342131,171.5021352,169.2827395,210.1759984,2.75,0,2.5,20.18624632,-46.4777,12.281925,16.90505,21.62975,1130.7242,31.46896354,14.17306357,356.4228094,0.561664837,0.002424025,0.9925124
SPP_NORTH_2022_25,-127.5431111,-60.09801006,-163.162704,133.3578946,62.15976124,143.7497944,8.21,0,2.5,35.71421293,-102.7981,9.72215,25.5635,52.368375,1161.6271,50.09888074,5.228412076,66.27828239,0.409015228,0.001765843,1
SPP_SOUTH_2019_25,-140.9790015,-71.7755444,29.86492721,171.6390071,171.6438062,204.4502065,2.83,0,2.5,21.48360128,-43.7243,12.858775,18.47425,23.22445,1210.5837,35.31578405,13.09331363,308.2313341,0.554038985,0.001628786,1
SPP_SOUTH_2022_25,-76.78842923,7.506686397,-99.03386056,150.7967522,114.826476,81.02387036,7.61,0,2.5,52.4426684,-38.083,19.2189,40.44085,69.956125,1356.8784,60.5276699,4.115521762,45.5523622,0.369439073,0.001709504,1
WinterNYCapRes_2030_25,-165.4234291,-84.33870814,10.33954292,128.6499324,145.6958485,186.8176161,2.94,0,2.5,22.35654316,1.06E-08,19.02499998,20.52499997,23.66005472,135.5121691,9.704171047,6.377681674,56.93429715,0.695329901,0.030059282,0
WinterNYTaxCapRes_2030_25,-70.73421356,30.97535963,10.45239227,82.7466228,157.5349918,71.99871475,2.94,60,2.5,41.8251288,7.11E-08,37.71799888,43.68300016,47.43368014,223.2342364,21.03365623,1.769445685,10.4959055,0.306064937,0.045315808,0
WinterNYTax_2030_25,-38.10193382,65.16722757,19.73902254,104.6759398,169.6534303,43.80138568,2.94,60,2.5,48.00396996,1.36E-08,44.03599916,46.22400126,51.96499927,1800.000005,44.4710803,22.44251455,734.2625828,0.68451291,0.035512274,0
WinterNY_2030_25,-141.7867798,-46.95015561,27.15694926,127.2884935,165.5414797,163.1988583,2.94,0,2.5,29.087939,2.60E-07,21.54800309,23.72600036,28.24272251,4257.425614,81.72304869,31.53582536,1215.074842,0.817279371,0.035635328,0
BaseCaseCapRes_2030_30,-170.9993069,-95.56841907,88.20030508,213.2920619,223.3781247,278.0565346,2.94,0,3,20.10986108,-330.0078856,17.74400002,19.98099997,23.24599975,111.6506992,8.712783131,-16.80026372,641.2076537,0.439684949,0.052328648,0
BaseCaseTaxCapRes_2030_30,-73.76836897,26.81958804,87.91086993,138.5570398,235.3660205,155.5043215,2.94,60,3,40.85208675,-1.44E-06,37.34199985,40.10000002,45.54099967,209.1004493,23.24454762,2.217126408,13.80024625,0.352095293,0.060626954,0
BaseCaseTax_2030_30,-34.41676043,65.85214542,116.2378121,168.5368615,267.4259394,139.0940436,2.94,60,3,47.68705371,-1.02E-07,37.34200025,43.40000132,47.28000003,1800.000025,82.47529566,15.41570358,277.5773599,0.850542762,0.058925709,0
BaseCase_2030_30,-120.2608738,-33.20322003,120.9665545,232.1364916,264.2326398,246.0586719,2.94,0,3,30.24979611,-113.2815717,19.02499997,24.12941557,30.09999988,1349.591575,80.52218105,12.48307204,162.0554316,0.95014208,0.03618715,0
CAISO_NP15_2019_30,-123.1954036,-30.01195793,57.993208,167.808314,210.1861877,193.7396636,3.87,0,3,35.59410914,-43.3701,22.944475,30.83785,41.7378,1013.6738,37.8459945,13.8162834,281.6485925,0.674125919,0.005257709,0.116599676
CAISO_NP15_2022_30,37.50478563,170.8063814,41.21507247,222.9811741,251.9294461,12.88579877,7.47,0,3,89.63344005,-16.3892,51.30345,69.9768,91.973725,1971.8911,106.4439659,9.238668704,129.129212,0.65354456,0.004203258,0.419762646
CAISO_SP15_2019_30,-120.5008016,-28.43516988,59.03193214,170.4279254,211.5765042,193.458433,3.87,0,3,35.76289704,-36.4988,21.907575,30.81345,42.2941,980.3147,39.34944274,13.05012585,246.6358946,0.686219743,0.005721276,0.057761912
CAISO_SP15_2022_30,24.56132403,147.883212,35.7517073,225.9236488,247.1867621,36.64337144,7.47,0,3,84.2986175,-27.4744,46.06545,65.96965,90.0033,1994.734,104.7273432,8.681443648,119.5721779,0.623035543,0.004089906,0.47001499
CAISO_ZP26_2019_30,-122.772682,-30.77605116,58.45044259,170.3744785,210.8300034,195.660549,3.87,0,3,35.31622978,-40.6231,21.989275,30.6805,41.652475,1065.9115,38.85246235,14.03788728,289.0423989,0.678194615,0.005209614,0.126216799
CAISO_ZP26_2022_30,11.41363622,132.7612775,24.17283745,216.6299015,235.0544989,43.09708731,7.47,0,3,81.30118618,-35.0853,45.008325,65.30625,86.917725,1976.5301,101.7236996,9.083343261,129.9866901,0.627931106,0.003537333,0.732585374
ERCOT_HOUSTON_2019_30,-120.2623196,-34.12538779,139.838645,241.3124618,274.2062987,255.7436836,2.39,0,3,28.19617263,-71.9689,16.90365,19.634,24.99815,4694.6368,107.0564936,31.59607622,1156.477019,0.861863694,0.001605825,1
ERCOT_HOUSTON_2022_30,-60.9821364,38.60512212,-12.03618833,170.0188251,183.1105671,97.68605643,7.05,0,3,61.97532545,-28.7943,30.784325,46.5179,68.534975,4835.4304,146.368505,20.3951491,525.1743386,0.789438761,0.003361584,0.810101805
ERCOT_NORTH_2019_30,-121.254932,-37.58060975,139.6814133,244.4314372,273.7941422,259.5712045,2.39,0,3,27.53171447,-10.4186,16.181525,19.1182,24.5337,4696.8861,106.8929074,31.99749128,1178.307986,0.867545609,0.003474165,0.761236435
ERCOT_NORTH_2022_30,-90.43464638,4.813135476,-36.48454352,150.6093793,157.0090574,114.8791462,7.05,0,3,55.0601666,-464.7304,28.1067,44.2324,64.246875,5073.4436,130.8880563,25.90569819,819.6266284,0.817022372,0.004782089,0.217680495
ERCOT_SOUTH_2019_30,-123.4373278,-37.60879009,138.1834927,240.4019766,272.2394182,258.0685536,2.39,0,3,27.56735732,-50.289,16.821125,19.5852,24.84005,4694.8095,105.7408848,32.53129572,1210.846094,0.872667721,0.001490977,1
ERCOT_SOUTH_2022_30,-96.22365409,-2.540204899,-40.45715942,147.9007923,152.9010642,118.8660148,7.05,0,3,53.50807846,-31.1793,28.146175,43.3772,63.054075,4680.6634,114.0648859,25.23627761,817.1954926,0.777703504,0.003803781,0.605025296
ERCOT_WEST_2019_30,-120.391782,-41.007299,140.9423227,253.4133692,276.411711,268.4621473,2.39,0,3,26.20113035,-24.6412,14.519225,18.79145,24.54135,4697.196,107.584265,31.66664281,1160.646047,0.862612289,0.005114604,0.145215066
ERCOT_WEST_2022_30,-89.41281561,0.854227147,-32.85233861,179.705408,168.7742957,145.4026836,7.05,0,3,50.38087806,-47.6123,22.81375,42.12905,64.050475,5143.3014,132.1759345,25.50235673,807.5423241,0.803621666,0.03378391,0
HighSolarCapRes_2030_30,-169.6217719,-95.79928228,88.59090467,215.8604014,223.9066705,279.2767724,2.94,0,3,19.96012651,-266.2156793,17.68400057,19.61800056,22.21099469,123.8209637,8.82069626,-4.116510706,250.0569619,0.07091521,0.058773988,0
HighSolarTaxCapRes_2030_30,-78.33970947,16.08388596,88.03330884,158.9237992,236.0364002,170.7242612,2.94,60,3,38.28499219,-1.950964584,33.02505928,39.91199741,46.68399988,205.2991611,25.23772448,1.609095662,9.191508808,0.294375893,0.064112568,0
HighSolarTax_2030_30,-37.86658452,56.66770078,120.2473039,192.6103733,272.0675559,155.7877254,2.94,60,3,45.43378918,-6.02E-07,34.15374562,40.09999998,47.73100015,1800,85.87019812,13.87271068,229.2184291,0.833057247,0.065325506,0
HighSolar_2030_30,-116.8734437,-33.56898157,125.9801015,244.0554733,269.1301485,250.1176404,2.94,0,3,30.12822897,-111.2865714,18.772,22.773,27.41026977,1800,91.83028677,14.24656195,224.0559508,0.898296668,0.046175794,0
HighWindCapRes_2030_30,-170.999307,-95.5684177,88.20030496,213.2920602,223.3781247,278.0565331,2.94,0,3,20.10986133,-330.0078845,17.74400006,19.98099999,23.24599993,111.6506988,8.712783232,-16.80026318,641.2076067,0.439684953,0.052328708,0
HighWindTaxCapRes_2030_30,-81.82094488,12.62705269,87.34623109,149.4665093,235.6848226,174.862376,2.94,60,3,37.48910137,-3.80E-06,36.58900079,40.10000003,46.57699799,202.8804025,23.90980952,1.274886734,8.244159549,0.23346309,0.087720608,0
HighWindTax_2030_30,-36.90980187,56.43573378,118.898885,187.7681026,271.6615172,159.6246065,2.94,60,3,45.06063183,-1.61E-07,36.58899998,43.4000026,48.71099863,1800.000003,89.50459325,15.12899956,263.4350975,0.862820789,0.091323837,0
HighWind_2030_30,-120.260872,-33.20322062,120.966684,232.1364916,264.2320903,246.0586724,2.94,0,3,30.24979597,-113.2815693,19.02499999,24.12941556,30.09999996,1349.591576,80.52218078,12.48307212,162.0554336,0.950142081,0.036187199,0
ISO_NE_2019_30,-145.3675561,-70.77095628,26.05958763,173.0119097,181.8880685,217.9390837,4.5,0,3,30.67519406,-56.16,19.0475,24.55,35.94,261.35,20.56166968,2.80590636,13.04447472,0.552996735,0.001763626,1
ISO_NE_2022_30,-51.452119,63.64741911,-108.5074696,125.5296964,122.2608577,16.31382171,10.76,0,3,84.91544863,-150.91,49.545,65.87,98.705,2254.35,64.92435099,6.741013859,157.4969691,0.289357305,0.002238656,0.994999534
MiNg_$100_CAISO_2035_30,51.86618945,130.8438301,147.3902039,308.1835625,302.8698858,113.6497143,2.26,100,3,52.97257669,0,1.17,73.585,91.23,178.28,43.71907064,-0.199731517,-1.568262256,0.725792605,0.156735096,0
MiNg_$100_ERCOT_2035_30,-55.73354711,18.50913219,103.6399253,254.0462477,255.4448162,201.4620778,2.64,100,3,33.66061126,0,0,30.385,70.13,186.42,35.29746933,0.482471217,-0.945428853,0.599716589,0.07461005,0
MiNg_$100_MISO-W_2035_30,-27.17571321,44.04811322,136.7822895,264.5329426,276.2246135,188.0038431,1.69,100,3,35.12351419,0,0,42.12,69.24,145.07,34.44692668,0.142891078,-1.714727084,0.793294769,0.10022202,0
MiNg_$100_NYISO_2035_30,-8.565812299,56.6448684,171.7388777,310.4571493,305.3677257,197.9032498,1.12,100,3,35.21884386,0,0,1.41,74.6625,182.14,40.05829425,0.487903694,-1.195248043,0.685603037,0.114545578,0
MiNg_$100_PJM-W_2035_30,32.05098539,111.5527396,145.8164713,259.8530816,284.6640947,111.7117061,1.42,100,3,48.01168613,0,8.06,63.575,76.9025,172.29,33.47362079,-0.325040878,-1.426971765,0.702420734,0.116823124,0
MiNg_$150_CAISO_2035_30,31.38078023,101.135101,184.8310666,363.3386187,340.9147039,194.9002796,2.26,150,3,45.34645604,0,0,1.53,105.405,203.01,53.73638702,0.443520376,-1.643399563,0.881469471,0.116924297,0
MiNg_$150_ERCOT_2035_30,-23.2813038,45.59650186,139.7643007,323.5977698,297.5196201,218.4184681,2.64,150,3,36.18433265,0,0,0.18,92.95,204.49,46.60158175,0.660464622,-1.313764678,0.851207558,0.095942041,0
MiNg_$150_MISO-W_2035_30,-53.10631839,10.38669974,146.2460092,314.958448,290.6700748,250.3196765,2.01,150,3,28.1322516,0,0,0.25,70.01,162.06,40.38926288,0.919725797,-0.924047432,0.8887388,0.061314676,0
MiNg_$150_NYISO_2035_30,-8.282207536,52.42128159,206.1680637,360.4023773,341.5079722,240.2780517,1.14,150,3,33.67239469,0,0,0.27,92.62,229.17,48.60417613,0.901800383,-0.82216734,0.832197207,0.086154364,0
MiNg_$150_PJM-W_2035_30,52.56338635,126.7467141,194.5425678,330.4554662,337.4996015,146.463687,1.43,150,3,49.81408539,0,0.15,47.84,98.48,181.06,45.76139962,0.106800672,-1.756959421,0.812981114,0.109772812,0
MISO_INDIANA_2019_30,-150.7290933,-55.76236787,99.37648406,194.8939229,234.6983464,243.0905604,2.73,0,3,26.40543493,2.26,20.95,23.33,26.67,936.4,21.65415639,19.41167486,575.7270708,0.652833553,0.002054795,0.997466439
MISO_INDIANA_2022_30,-69.16092643,49.43241446,-61.42364387,119.8150675,142.3001429,31.4820628,8.04,0,3,71.46314954,-4.43,44.3475,58.255,81.5925,2411.71,70.27445867,14.63693097,366.3904192,0.582687418,0.002469096,0.991907678
MISO_LOUISIANA_2019_30,-156.5927654,-64.40877349,98.44757518,198.3320581,233.0688365,251.4312715,2.73,0,3,24.85890639,-31.26,20.1,22.67,25.8225,968.31,18.6433652,23.63363018,909.8401734,0.612974606,0.002349458,0.993512883
MISO_LOUISIANA_2022_30,-105.2285015,2.386534552,-88.98687824,93.26341184,110.5061233,57.3890746,8.04,0,3,62.47651027,-3.03,40.29,52.905,71.82,2009.43,60.16116204,16.3724742,397.407016,0.671959306,0.00181516,1
MISO_MINNESOTA_2019_30,-164.409681,-101.9657091,58.06266305,206.1604017,201.971182,268.837403,3.73,0,3,21.97139498,-38.56,17.17,20.185,23.66,661.22,16.95964077,19.59374883,593.6086388,0.645170561,0.001922149,0.999246166
MISO_MINNESOTA_2022_30,-134.5665478,-60.2615029,-102.116853,130.7756355,103.1512006,152.2731434,8.04,0,3,44.09752968,-62.28,23.52,36.915,55.6825,1781.78,49.09061903,14.55683948,395.1689622,0.534700206,0.001960582,0.998730506
NETL_ERCOT_GEN_0_30,-166.350018,-76.37192128,22.46523689,141.1319163,174.6304888,208.5289987,4.42,0,3,31.13969033,0.126198435,27.87045202,30.13944616,34.36572552,193.1370069,8.657302713,1.346379767,27.21281874,0.093094352,0.010027232,5.53E-06
NETL_ERCOT_GEN_100_30,-9.801910824,110.8451537,27.29559338,146.2157928,196.1766833,19.78856547,4.42,110.231,3,64.34097498,0.12631382,52.69122853,67.53422322,75.22030767,1167.406372,27.19991149,11.41908212,386.9072781,0.336990607,0.022238921,0
NETL_ERCOT_GEN_250_30,257.2925018,377.9510425,257.5345594,411.5696833,453.9973105,-21.923588,4.42,275.5775,3,111.2647832,0.12631382,80.88683102,125.2687055,140.1447629,1289.150704,56.15034116,4.567944555,90.93322463,0.232781088,0.038743732,0
NETL_ERCOT_GEN_25_30,-139.0831584,-23.67068896,18.37991235,97.08985722,174.5812635,148.6702881,4.42,27.55775,3,40.70200444,0.12631382,34.75317787,40.66943741,45.85093827,345.5538373,11.91936735,4.102797904,88.41411862,0.195076542,0.012511186,0
NETL_ERCOT_GEN_50_30,-98.09194354,20.38760626,16.77305445,85.67410618,176.8743469,101.6811046,4.42,55.1155,3,48.45455269,0.12631382,41.41961172,50.32260673,54.47814482,841.2453115,17.64895589,12.84091669,513.1168562,0.321417154,0.023308461,0
NYISO_2019_30,-161.2815648,-90.5323235,85.37515041,219.314435,224.7186697,279.5627365,3.05,0,3,20.09014155,-186.74,14.07,19.18,24.56,356.71,14.83610646,3.199738269,76.66791089,0.141062818,0.001977464,0.998504004
NYISO_2022_30,-86.48905151,4.022428947,-47.75910869,173.442028,160.0624074,131.2247027,7.57,0,3,53.64449087,-410.7,24.7,43.98,66.5375,2829.46,73.75277403,15.1125778,457.6417776,0.497978054,0.004132604,0.45108567
PJM_WEST_2019_30,-142.6590702,-46.96342302,112.3057774,198.8138476,245.2697344,243.7958025,2.43,0,3,26.37999397,-52.9956,19.622275,23.1215,27.567725,746.5853,22.95333868,17.2221017,426.5396343,0.692834959,0.002748634,0.977128157
PJM_WEST_2022_30,-33.75765876,91.28148257,-4.342006897,154.0617592,191.7379347,32.90226704,7.04,0,3,74.25228529,-20.2954,44.427075,58.14895,81.378875,3794.4313,118.221723,19.78489554,478.5809901,0.81490188,0.002474952,0.991829102
SPP_NORTH_2019_30,-146.3529604,-79.34868924,107.5398055,245.9700968,245.978117,287.2697398,2.75,0,3,20.18624632,-46.4777,12.281925,16.90505,21.62975,1130.7242,31.46896354,14.17306357,356.4228094,0.561664837,0.002424025,0.9925124
SPP_NORTH_2022_30,-127.5431111,-60.09801006,-96.99469303,193.7626176,128.0516933,211.3115847,8.21,0,3,35.71421293,-102.7981,9.72215,25.5635,52.368375,1161.6271,50.09888074,5.228412076,66.27828239,0.409015228,0.001765843,1
SPP_SOUTH_2019_30,-140.9790015,-71.7755444,106.1355775,245.1217601,247.8790296,281.1713908,2.83,0,3,21.48360128,-43.7243,12.858775,18.47425,23.22445,1210.5837,35.31578405,13.09331363,308.2313341,0.554038985,0.001628786,1
SPP_SOUTH_2022_30,-76.78842923,7.506686397,-40.05172758,200.6147208,173.4986025,141.1316622,7.61,0,3,52.4426684,-38.083,19.2189,40.44085,69.956125,1356.8784,60.5276699,4.115521762,45.5523622,0.369439073,0.001709504,1
WinterNYCapRes_2030_30,-165.4234291,-84.33870814,88.3655989,206.0587914,223.7044384,264.9753888,2.94,0,3,22.35654316,1.06E-08,19.02499998,20.52499997,23.66005472,135.5121691,9.704171047,6.377681674,56.93429715,0.695329901,0.030059282,0
WinterNYTaxCapRes_2030_30,-70.73421356,30.97535963,86.50696325,125.8096369,233.5647195,148.5653517,2.94,60,3,41.8251288,7.11E-08,37.71799888,43.68300016,47.43368014,223.2342364,21.03365623,1.769445685,10.4959055,0.306064937,0.045315808,0
WinterNYTax_2030_30,-38.10193382,65.16722757,93.84054883,130.7885837,243.6126953,118.189489,2.94,60,3,48.00396996,1.36E-08,44.03599916,46.22400126,51.96499927,1800.000005,44.4710803,22.44251455,734.2625828,0.68451291,0.035512274,0
WinterNY_2030_30,-141.7867798,-46.95015561,104.9422581,204.6211367,243.3189139,240.9362796,2.94,0,3,29.087939,2.60E-07,21.54800309,23.72600036,28.24272251,4257.425614,81.72304869,31.53582536,1215.074842,0.817279371,0.035635328,0
