,NGCC profit (M$),SOFC profit (M$),NGCC+SOEC profit (M$),rSOC profit (M$),SOFC+SOEC profit (M$),SOEC profit (M$),Natural Gas Price ($/MMBtu),Carbon Tax ($/tonne),Hydrogen Price ($/kg),Mean LMP ($/MWh),Minimum LMP ($/MWh),25th Percentile ($/MWh),50th Percentile ($/MWh),75th Percentile ($/MWh),Maximum LMP ($/MWh),Standard Deviation ($/MWh),Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Dip Test p-value
MiNg_$150_NYISO_2035_10,-8.282207536,52.42128159,-5.387839875,149.589288,130.0249371,26.03579806,1.14,150,1,33.67239469,0,0,0.27,92.62,229.17,48.60417613,0.901800383,-0.82216734,0.832197207,0.086154364,0
MiNg_$150_PJM-W_2035_10,52.56338635,126.7467141,33.02943675,180.3722432,176.2715139,-13.82713583,1.43,150,1,49.81408539,0,0.15,47.84,98.48,181.06,45.76139962,0.106800672,-1.756959421,0.812981114,0.109772812,0
MISO_INDIANA_2019_10,-150.7290933,-55.76236787,-197.7660646,-56.49690793,-61.98822093,-56.7873398,2.73,0,1,26.40543493,2.26,20.95,23.33,26.67,936.4,21.65415639,19.41167486,575.7270708,0.652833553,0.002054795,0.997466439
MISO_INDIANA_2022_10,-69.16092643,49.43241446,-131.6193613,45.03561509,37.63357233,-67.14841976,8.04,0,1,71.46314954,-4.43,44.3475,58.255,81.5925,2411.71,70.27445867,14.63693097,366.3904192,0.582687418,0.002469096,0.991907678
MISO_LOUISIANA_2019_10,-156.5927654,-64.40877349,-206.8436668,-63.55173082,-68.42189158,-53.00350954,2.73,0,1,24.85890639,-31.26,20.1,22.67,25.8225,968.31,18.6433652,23.63363018,909.8401734,0.612974606,0.002349458,0.993512883
MISO_LOUISIANA_2022_10,-105.2285015,2.386534552,-166.3174937,-2.775636799,-14.35839412,-67.15636502,8.04,0,1,62.47651027,-3.03,40.29,52.905,71.82,2009.43,60.16116204,16.3724742,397.407016,0.671959306,0.00181516,1
MISO_MINNESOTA_2019_10,-164.409681,-101.9657091,-218.6960761,-82.5894598,-102.3105629,-37.61005183,3.73,0,1,21.97139498,-38.56,17.17,20.185,23.66,661.22,16.95964077,19.59374883,593.6086388,0.645170561,0.001922149,0.999246166
MISO_MINNESOTA_2022_10,-134.5665478,-60.2615029,-198.4246328,-47.70926952,-83.10181123,-56.20587167,8.04,0,1,44.09752968,-62.28,23.52,36.915,55.6825,1781.78,49.09061903,14.55683948,395.1689622,0.534700206,0.001960582,0.998730506
NETL_ERCOT_GEN_0_10,-166.350018,-76.37192128,-218.0109424,-76.80230262,-96.94266384,-64.22407593,4.42,0,1,31.13969033,0.126198435,27.87045202,30.13944616,34.36572552,193.1370069,8.657302713,1.346379767,27.21281874,0.093094352,0.010027232,5.53E-06
NETL_ERCOT_GEN_100_10,-9.801910824,110.8451537,-62.05615304,107.530805,106.2097803,-66.26097501,4.42,110.231,1,64.34097498,0.12631382,52.69122853,67.53422322,75.22030767,1167.406372,27.19991149,11.41908212,386.9072781,0.336990607,0.022238921,0
NETL_ERCOT_GEN_250_10,257.2925018,377.9510425,203.6720423,374.4667926,398.7118636,-66.37137293,4.42,275.5775,1,111.2647832,0.12631382,80.88683102,125.2687055,140.1447629,1289.150704,56.15034116,4.567944555,90.93322463,0.232781088,0.038743732,0
NETL_ERCOT_GEN_25_10,-139.0831584,-23.67068896,-193.0319961,-26.88180112,-41.03525785,-66.15437829,4.42,27.55775,1,40.70200444,0.12631382,34.75317787,40.66943741,45.85093827,345.5538373,11.91936735,4.102797904,88.41411862,0.195076542,0.012511186,0
NETL_ERCOT_GEN_50_10,-98.09194354,20.38760626,-151.5564939,17.07495709,7.128405201,-66.22342594,4.42,55.1155,1,48.45455269,0.12631382,41.41961172,50.32260673,54.47814482,841.2453115,17.64895589,12.84091669,513.1168562,0.321417154,0.023308461,0
NYISO_2019_10,-161.2815648,-90.5323235,-214.358993,-57.54241969,-76.76194723,-24.60889073,3.05,0,1,20.09014155,-186.74,14.07,19.18,24.56,356.71,14.83610646,3.199738269,76.66791089,0.141062818,0.001977464,0.998504004
NYISO_2022_10,-86.48905151,4.022428947,-148.4083702,26.85722156,-8.581086737,-44.03086708,7.57,0,1,53.64449087,-410.7,24.7,43.98,66.5375,2829.46,73.75277403,15.1125778,457.6417776,0.497978054,0.004132604,0.45108567
PJM_WEST_2019_10,-142.6590702,-46.96342302,-182.4321053,-46.0699506,-48.95393944,-53.29308129,2.43,0,1,26.37999397,-52.9956,19.622275,23.1215,27.567725,746.5853,22.95333868,17.2221017,426.5396343,0.692834959,0.002748634,0.977128157
PJM_WEST_2022_10,-33.75765876,91.28148257,-93.45185712,86.54517717,83.4063202,-67.06767886,7.04,0,1,74.25228529,-20.2954,44.427075,58.14895,81.378875,3794.4313,118.221723,19.78489554,478.5809901,0.81490188,0.002474952,0.991829102
SPP_NORTH_2019_10,-146.3529604,-79.34868924,-190.7631168,-34.72993367,-52.0793722,-14.38958705,2.75,0,1,20.18624632,-46.4777,12.281925,16.90505,21.62975,1130.7242,31.46896354,14.17306357,356.4228094,0.561664837,0.002424025,0.9925124
SPP_NORTH_2022_10,-127.5431111,-60.09801006,-196.0414408,-15.63322439,-79.75767061,-16.98916096,8.21,0,1,35.71421293,-102.7981,9.72215,25.5635,52.368375,1161.6271,50.09888074,5.228412076,66.27828239,0.409015228,0.001765843,1
SPP_SOUTH_2019_10,-140.9790015,-71.7755444,-188.069261,-27.51098716,-46.04234044,-16.83854734,2.83,0,1,21.48360128,-43.7243,12.858775,18.47425,23.22445,1210.5837,35.31578405,13.09331363,308.2313341,0.554038985,0.001628786,1
SPP_SOUTH_2022_10,-76.78842923,7.506686397,-148.9034572,40.62963128,-1.483591926,-38.73859081,7.61,0,1,52.4426684,-38.083,19.2189,40.44085,69.956125,1356.8784,60.5276699,4.115521762,45.5523622,0.369439073,0.001709504,1
WinterNYCapRes_2030_10,-165.4234291,-84.33870814,-217.5656776,-80.99814666,-83.79605276,-44.36584139,2.94,0,1,22.35654316,1.06E-08,19.02499998,20.52499997,23.66005472,135.5121691,9.704171047,6.377681674,56.93429715,0.695329901,0.030059282,0
WinterNYTaxCapRes_2030_10,-70.73421356,30.97535963,-119.522331,41.4545561,29.62192847,-63.45792192,2.94,60,1,41.8251288,7.11E-08,37.71799888,43.68300016,47.43368014,223.2342364,21.03365623,1.769445685,10.4959055,0.306064937,0.045315808,0
