model6, MiNg_$100_CAISO_2035, 0.46889740228652954, 0.9684194525082906, 1.4373168547948203, optimal
model3, MiNg_$150_CAISO_2035, 0.6004482825597127, 3.8808215856552124, 4.481269868214925, optimal
model4, MiNg_$150_CAISO_2035, 0.40268415212631226, 1.7812212149302165, 2.1839053670565285, optimal
model5, MiNg_$150_CAISO_2035, 4.262137695153554, 6.228650200366974, 10.490787895520528, optimal
model6, MiNg_$150_CAISO_2035, 0.3677132527033488, 0.8720557967821757, 1.2397690494855245, optimal
model3, MiNg_$100_ERCOT_2035, 0.6121008634567261, 6.621476097901662, 7.233576961358389, optimal
model4, MiNg_$100_ERCOT_2035, 0.39518673022588097, 3.303614246845245, 3.698800977071126, optimal
model5, MiNg_$100_ERCOT_2035, 0.6610852003097534, 8.188147103786468, 8.84923230409622, optimal
model6, MiNg_$100_ERCOT_2035, 0.31811288197835286, 1.3839239517847697, 1.7020368337631226, optimal
model3, MiNg_$150_ERCOT_2035, 0.6439711809158325, 4.015574884414673, 4.659546065330505, optimal
model4, MiNg_$150_ERCOT_2035, 0.43421793381373086, 3.201562480131785, 3.6357804139455157, optimal
model5, MiNg_$150_ERCOT_2035, 0.9992802858352661, 8.046577950318655, 9.04585823615392, optimal
model6, MiNg_$150_ERCOT_2035, 0.31892020304997765, 0.924354612827301, 1.2432748158772786, optimal
model3, MiNg_$100_MISO-W_2035, 0.5700698852539062, 4.771667385101319, 5.341737270355225, optimal
model4, MiNg_$100_MISO-W_2035, 0.4205304026603699, 3.5431536356608073, 3.963684038321177, optimal
model5, MiNg_$100_MISO-W_2035, 0.4432028532028198, 6.886166302363078, 7.329369155565898, optimal
model6, MiNg_$100_MISO-W_2035, 0.32743382851282754, 1.2215632637341818, 1.5489970922470093, optimal
model3, MiNg_$150_MISO-W_2035, 0.6519326170285543, 4.102973484992981, 4.754906102021535, optimal
model4, MiNg_$150_MISO-W_2035, 0.3448619286219279, 2.265984050432841, 2.610845979054769, optimal
model5, MiNg_$150_MISO-W_2035, 4.074070298671723, 4.353926082452138, 8.427996381123862, optimal
model6, MiNg_$150_MISO-W_2035, 0.30896228551864624, 1.0291895071665447, 1.338151792685191, optimal
model3, MiNg_$100_NYISO_2035, 0.5914447665214538, 4.421159370740255, 5.012604137261708, optimal
model4, MiNg_$100_NYISO_2035, 0.35841286977132164, 3.5423495690027873, 3.900762438774109, optimal
model5, MiNg_$100_NYISO_2035, 0.8003968795140585, 4.130088035265604, 4.9304849147796626, optimal
model6, MiNg_$100_NYISO_2035, 0.35992108583450316, 1.337025264898936, 1.6969463507334392, optimal
model3, MiNg_$150_NYISO_2035, 0.6415853301684061, 4.106654914220174, 4.7482402443885805, optimal
model4, MiNg_$150_NYISO_2035, 0.3177013357480367, 3.6904290000597637, 4.008130335807801, optimal
model5, MiNg_$150_NYISO_2035, 0.868305766582489, 3.910196797053019, 4.7785025636355085, optimal
model6, MiNg_$150_NYISO_2035, 0.29865121841430664, 1.0052404324213664, 1.303891650835673, optimal
model3, MiNg_$100_PJM-W_2035, 0.4920859694480896, 7.5613599499066675, 8.053445919354758, optimal
model4, MiNg_$100_PJM-W_2035, 0.48762965202331543, 3.1669925014177958, 3.654622153441111, optimal
model5, MiNg_$100_PJM-W_2035, 0.6857868671417237, 7.182985631624858, 7.868772498766582, optimal
model6, MiNg_$100_PJM-W_2035, 0.389940337340037, 1.5470100204149881, 1.936950357755025, optimal
model3, MiNg_$150_PJM-W_2035, 0.577013349533081, 7.098044335842133, 7.675057685375213, optimal
model4, MiNg_$150_PJM-W_2035, 0.3909733653068542, 3.2366849342981974, 3.6276582996050517, optimal
model5, MiNg_$150_PJM-W_2035, 0.8217775980631511, 6.796718613306681, 7.618496211369832, optimal
model6, MiNg_$150_PJM-W_2035, 0.3885263482729594, 0.942940616607666, 1.3314669648806254, optimal
model3, BaseCase_2030, 4.765780484676361, 15.879253848393757, 20.645034333070118, optimal
model4, BaseCase_2030, 0.3734131813049316, 3.4982853651046755, 3.871698546409607, optimal
model5, BaseCase_2030, 21.85702916383743, 14.663164214293163, 36.52019337813059, optimal
model6, BaseCase_2030, 0.2892678181330363, 2.834889749685923, 3.1241575678189593, optimal
model3, HighWind_2030, 7.8786991516749065, 12.385521920522054, 20.26422107219696, optimal
model4, HighWind_2030, 0.37514901558558145, 3.301124866803487, 3.6762738823890686, optimal
model5, HighWind_2030, 5.603839015960693, 8.979085036118825, 14.582924052079518, optimal
model6, HighWind_2030, 0.29027386506398517, 2.74329274892807, 3.0335666139920554, optimal
model3, HighSolar_2030, 6.111217880249024, 11.714679686228434, 17.825897566477458, optimal
model4, HighSolar_2030, 0.33845321337382, 3.2973387519518536, 3.6357919653256734, optimal
model5, HighSolar_2030, 13.041564150651295, 6.85769126812617, 19.899255418777464, optimal
model6, HighSolar_2030, 0.29277100165685016, 1.2652944842974345, 1.5580654859542846, optimal
model3, WinterNY_2030, 7.274453254540761, 14.614325352509816, 21.888778607050575, optimal
model4, WinterNY_2030, 0.34097121556599935, 3.30205872853597, 3.6430299441019693, optimal
model5, WinterNY_2030, 0.24267317056655885, 9.695656569798787, 9.938329740365345, optimal
model6, WinterNY_2030, 0.22342084646224974, 0.6701366662979126, 0.8935575127601623, optimal
model3, BaseCaseTax_2030, 0.5968907157580058, 1.7288509170214335, 2.3257416327794393, optimal
model4, BaseCaseTax_2030, 0.32712379693984983, 0.6216348846753438, 0.9487586816151936, optimal
model5, BaseCaseTax_2030, 1.0224050442377726, 2.2988107005755105, 3.321215744813283, optimal
model6, BaseCaseTax_2030, 0.24936113754908243, 0.8106730818748474, 1.0600342194239298, optimal
model3, HighWindTax_2030, 0.5059964060783386, 2.855386797587077, 3.3613832036654157, optimal
model4, HighWindTax_2030, 0.3007612864176432, 0.596569279829661, 0.8973305662473042, optimal
model5, HighWindTax_2030, 0.6858213305473327, 2.3299797852834065, 3.0158011158307394, optimal
model6, HighWindTax_2030, 0.266732649008433, 1.0392140984535216, 1.3059467474619546, optimal
model3, HighSolarTax_2030, 0.5229304631551107, 6.010169831911723, 6.533100295066833, optimal
model4, HighSolarTax_2030, 0.3165155331293742, 3.656522822380066, 3.9730383555094404, optimal
model5, HighSolarTax_2030, 1.2816220998764039, 6.523703980445862, 7.805326080322265, optimal
model6, HighSolarTax_2030, 0.2514745513598124, 0.7296663999557496, 0.981140951315562, optimal
model3, WinterNYTax_2030, 0.4974361817042033, 3.310614514350891, 3.808050696055094, optimal
model4, WinterNYTax_2030, 0.33567060232162477, 4.157775580883026, 4.493446183204651, optimal
model5, WinterNYTax_2030, 0.4609231988588969, 4.966736487547556, 5.427659686406453, optimal
model6, WinterNYTax_2030, 0.2640794515609741, 1.4121111631393433, 1.6761906147003174, optimal
model3, BaseCaseCapRes_2030, 0.7680012822151184, 7.968154553572337, 8.736155835787455, optimal
model4, BaseCaseCapRes_2030, 0.1742127021153768, 3.6595083157221477, 3.8337210178375245, optimal
model5, BaseCaseCapRes_2030, 0.6693287452061971, 7.077411981423696, 7.746740726629893, optimal
model6, BaseCaseCapRes_2030, 0.15533219973246257, 1.180111300945282, 1.3354435006777445, optimal
model3, HighWindCapRes_2030, 0.9380985379219056, 7.028542486826579, 7.966641024748484, optimal
model4, HighWindCapRes_2030, 0.17408796548843383, 4.130915184815724, 4.305003150304159, optimal
model5, HighWindCapRes_2030, 8.916165181001027, 6.743931472301483, 15.66009665330251, optimal
model6, HighWindCapRes_2030, 0.17230451504389446, 1.1644163529078166, 1.336720867951711, optimal
model3, HighSolarCapRes_2030, 0.7371848821640015, 4.09602952003479, 4.8332144021987915, optimal
model4, HighSolarCapRes_2030, 0.17981545130411783, 4.113936086495717, 4.293751537799835, optimal
model5, HighSolarCapRes_2030, 3.8224161664644876, 5.154641552766164, 8.977057719230652, optimal
model6, HighSolarCapRes_2030, 0.17349865039189658, 1.2450785319010416, 1.418577182292938, optimal
model3, WinterNYCapRes_2030, 2.275119451681773, 52.62059881687164, 54.895718268553416, optimal
model4, WinterNYCapRes_2030, 0.18289201656977336, 3.546040046215057, 3.7289320627848306, optimal
model5, WinterNYCapRes_2030, 2.1314833998680114, 9.057507836818695, 11.188991236686707, optimal
model6, WinterNYCapRes_2030, 0.19991856416066486, 1.339328932762146, 1.539247496922811, optimal
model3, BaseCaseTaxCapRes_2030, 0.5470089475313823, 3.770543467998505, 4.317552415529887, optimal
model4, BaseCaseTaxCapRes_2030, 0.3325345993041992, 2.8069376707077027, 3.1394722700119018, optimal
model5, BaseCaseTaxCapRes_2030, 0.9050607482592264, 6.103754281997681, 7.008815030256907, optimal
model6, BaseCaseTaxCapRes_2030, 0.2135198990503947, 1.0632098158200582, 1.276729714870453, optimal
model3, HighWindTaxCapRes_2030, 0.5133106470108032, 3.406015686194102, 3.9193263332049053, optimal
model4, HighWindTaxCapRes_2030, 0.3103337327639262, 1.5034692327181498, 1.813802965482076, optimal
model5, HighWindTaxCapRes_2030, 2.8476327141125997, 5.029878481229146, 7.8775111953417465, optimal
model6, HighWindTaxCapRes_2030, 0.22920327981313068, 1.6560301303863525, 1.8852334101994832, optimal
model3, HighSolarTaxCapRes_2030, 3.4257711370786033, 4.695240485668182, 8.121011622746785, optimal
model4, HighSolarTaxCapRes_2030, 0.29898302952448524, 1.4554879148801168, 1.754470944404602, optimal
model5, HighSolarTaxCapRes_2030, 0.5692456046740214, 5.591161831219991, 6.160407435894013, optimal
model6, HighSolarTaxCapRes_2030, 0.22038892904917398, 1.6853368361790975, 1.9057257652282715, optimal
model3, WinterNYTaxCapRes_2030, 0.5417309999465942, 3.7256216486295064, 4.2673526485761, optimal
model4, WinterNYTaxCapRes_2030, 0.3202008803685506, 2.7469629804293314, 3.067163860797882, optimal
model5, WinterNYTaxCapRes_2030, 0.6014640013376872, 5.950422497590383, 6.55188649892807, optimal
model6, WinterNYTaxCapRes_2030, 0.21110088030497234, 0.7076376001040141, 0.9187384804089864, optimal
model3, ERCOT_0, 0.705031152566274, 24.237291498978934, 24.942322651545208, optimal
model4, ERCOT_0, 0.35405518611272174, 6.474402884642283, 6.828458070755005, optimal
model5, ERCOT_0, 28.472331166267395, 19.62376075188319, 48.096091918150584, optimal
model6, ERCOT_0, 0.2606215278307597, 1.6630314350128175, 1.9236529628435772, optimal
model3, ERCOT_100, 0.5280622522036235, 6.677776515483856, 7.20583876768748, optimal
model4, ERCOT_100, 0.44755449692408245, 3.22006250222524, 3.6676169991493226, optimal
model5, ERCOT_100, 0.5679072539011637, 10.403016146024068, 10.970923399925232, optimal
model6, ERCOT_100, 0.6198768695195516, 1.0052904645601908, 1.6251673340797423, optimal
model3, CAISO_100, 0.6756238261858623, 4.741939918200175, 5.417563744386037, optimal
