model6, MiNg_$150_MISO-W_2035,0.214512881,0.837501633,1.052014514, optimal
model3, MiNg_$100_NYISO_2035,0.589163065,4.313368098,4.902531163, optimal
model4, MiNg_$100_NYISO_2035,0.296848547,2.700348667,2.997197215, optimal
model5, MiNg_$100_NYISO_2035,0.623596179,6.528797348,7.152393528, optimal
model6, MiNg_$100_NYISO_2035,0.242140718,0.93082027,1.172960989, optimal
model3, MiNg_$150_NYISO_2035,0.645605067,4.121640714,4.767245781, optimal
model4, MiNg_$150_NYISO_2035,0.309793301,1.197499069,1.50729237, optimal
model5, MiNg_$150_NYISO_2035,0.631671572,3.941314852,4.572986424, optimal
model6, MiNg_$150_NYISO_2035,0.217207046,0.872037065,1.089244111, optimal
model3, MiNg_$100_PJM-W_2035,0.550955629,6.92572945,7.476685079, optimal
model4, MiNg_$100_PJM-W_2035,0.374481352,5.048899802,5.423381154, optimal
model5, MiNg_$100_PJM-W_2035,0.579948632,7.174771067,7.754719698, optimal
model6, MiNg_$100_PJM-W_2035,0.247637796,1.323263184,1.570900981, optimal
model3, MiNg_$150_PJM-W_2035,0.612788518,7.048972134,7.661760652, optimal
model4, MiNg_$150_PJM-W_2035,0.322853716,2.863553731,3.186407447, optimal
model5, MiNg_$150_PJM-W_2035,1.139431453,6.521474012,7.660905464, optimal
model6, MiNg_$150_PJM-W_2035,0.253620203,1.310093685,1.563713888, optimal
model3, BaseCase_2030,1.03920035,6.762235932,7.801436281, optimal
model4, BaseCase_2030,0.220264586,3.160649999,3.380914585, optimal
model5, BaseCase_2030,5.039891732,7.158631365,12.1985231, optimal
model6, BaseCase_2030,0.1508575,1.161374935,1.312232435, optimal
model3, HighWind_2030,1.039462113,6.580850399,7.620312512, optimal
model4, HighWind_2030,0.226929581,3.165172887,3.392102468, optimal
model5, HighWind_2030,3.010482403,6.931937838,9.94242024, optimal
model6, HighWind_2030,0.150718466,1.143644468,1.294362934, optimal
model3, HighSolar_2030,1.024352348,11.74806057,12.77241292, optimal
model4, HighSolar_2030,0.225949168,3.129262233,3.355211401, optimal
model5, HighSolar_2030,2.63948522,4.292470555,6.931955775, optimal
model6, HighSolar_2030,0.150386914,1.027158713,1.177545627, optimal
model3, WinterNY_2030,1.075937084,6.620950099,7.696887183, optimal
model4, WinterNY_2030,0.241419836,3.076566331,3.317986166, optimal
model5, WinterNY_2030,0.875826999,4.001318888,4.877145886, optimal
model6, WinterNY_2030,0.1740592,0.914535852,1.088595053, optimal
model3, BaseCaseTax_2030,0.830610502,4.043111881,4.873722382, optimal
model4, BaseCaseTax_2030,0.249684433,3.273291282,3.522975715, optimal
model5, BaseCaseTax_2030,5.103960737,5.900510299,11.00447104, optimal
model6, BaseCaseTax_2030,0.204982638,1.761088296,1.966070934, optimal
model3, HighWindTax_2030,0.796800601,6.28591512,7.082715722, optimal
model4, HighWindTax_2030,0.248995884,3.209853999,3.458849883, optimal
model5, HighWindTax_2030,19.79793212,12.3105499,32.10848202, optimal
model6, HighWindTax_2030,0.211976965,0.874349153,1.086326118, optimal
model3, HighSolarTax_2030,0.806555299,6.413681853,7.220237152, optimal
model4, HighSolarTax_2030,0.248003832,3.253592281,3.501596113, optimal
model5, HighSolarTax_2030,3.339731105,14.69235003,18.03208114, optimal
model6, HighSolarTax_2030,0.201661348,1.273044403,1.474705752, optimal
model3, WinterNYTax_2030,0.720860819,6.285332517,7.006193336, optimal
model4, WinterNYTax_2030,0.235024087,3.189782751,3.424806837, optimal
model5, WinterNYTax_2030,0.567172917,8.192265133,8.75943805, optimal
model6, WinterNYTax_2030,0.213100815,1.389816717,1.602917532, optimal
model3, BaseCaseCapRes_2030,1.105299763,5.964185703,7.069485466, optimal
model4, BaseCaseCapRes_2030,0.259423498,4.031355532,4.29077903, optimal
model5, BaseCaseCapRes_2030,0.853625969,4.547860161,5.401486131, optimal
model6, BaseCaseCapRes_2030,0.117984148,0.109778917,0.227763065, locallyOptimal
model3, HighWindCapRes_2030,1.064298602,2.306751851,3.371050453, optimal
model4, HighWindCapRes_2030,0.210131466,2.753730448,2.963861914, optimal
model5, HighWindCapRes_2030,0.889072883,3.338749301,4.227822185, optimal
model6, HighWindCapRes_2030,0.120741534,0.109456265,0.230197799, locallyOptimal
model3, HighSolarCapRes_2030,1.104758449,6.244232615,7.348991064, optimal
model4, HighSolarCapRes_2030,0.267651888,2.743436797,3.011088685, optimal
model5, HighSolarCapRes_2030,1.588863532,3.386459903,4.975323435, optimal
model6, HighSolarCapRes_2030,0.1248251,0.113692415,0.238517515, locallyOptimal
model3, WinterNYCapRes_2030,1.06027,5.755936849,6.816206849, optimal
model4, WinterNYCapRes_2030,0.229702099,2.808438702,3.038140802, optimal
model5, WinterNYCapRes_2030,1.486095881,3.529780845,5.015876726, optimal
