,st_power (MW),gt_power (MW),gross_power (MW),ngcc_net_power (MW),lhv_efficiency (%),hhv_efficiency (%),combustor_temperature (K),fuel_flow (kg/s),st_throttle_delta_pressure (bar),st_condenser_pressure (bar),st_throttle_inlet_temperature (K),st_throttle_outlet_temperature (K),fuel_cost_rate (USD_2018/h),other_variable_cost_rate (USD_2018/h),total_variable_cost_rate (USD_2018/h),cell_potential (V),soec_makeup_water (kg/s),variable_makeup_water_cost (USD_2018/h),soec_current (MA),soec_current_density (A/m**2),soec_power (MW),sweep_compressor_power (MW),sweep_turbine_power (MW),h2_mass_production (kg/s),soec_power_per_h2 (MJ/kg),feed_heater_power (MW),sweep_heater_power (MW),total_electric_power (MW),bop_power (MW),total_electric_power_per_h2 (kWh/kg),pump_power (MW),total_compressor_power (MW),Number_of_cells (cells),estimated_number_of_cells (cells),current_density (A/m**2),water_utilization (%),water_utilization_overall (%),net_power (MW),sweep_out_frac (%),steam_out_frac (%),heater_1_frac (%),sweep_inlet_flow (mol/s),sweep_trim_temperature (K),steam_trim_temperature (K)
335,179.05769719982584,367.0,546.0576971998258,506.14625329435194,49.919849125247765,45.051947967718824,1613.727224292689,21.48131005542652,-38.92660841101282,0.06391267382916987,861.2592626667604,847.5513602522713,16943.834898793823,3016.0026119853,19959.83751077912,1.2623166456224515,22.341850793847552,75.21875590466243,-191.44864749243513,-3199.9280841041327,249.14310774392357,9.231119520848273,-10.83332609228917,2.0000992112704004,124.56537472742448,0.11855320082810245,7.991212016297106,265.3456066339743,16.20249889005071,36.851728423544195,0.013946628380632639,9.680993615985775,1087993.7247508846,1087993.7247508846,-3199.9280841041327,78.72731297624867,79.99863759605688,240.8006466603777,88.18350392118478,92.52946824790159,30.012702271868612,2261.1898884885,982.2727420433166,900.0602762302656
336,180.20548223141915,367.0,547.2054822314192,507.2849138110993,50.03365892996492,45.15465968440428,1613.7303530717084,21.480663143844836,-37.36253955983534,0.06577990620732341,861.1943029917189,848.0522127136458,16943.32463368402,3015.911784795755,19959.236418479777,1.260038598210154,19.549179069347925,65.81661215635505,-167.5175665558807,-2799.937073591116,217.60680385427642,8.294762634782025,-9.606388273929229,1.7500868098616,124.34057706628002,0.2762405892958402,6.74492840227636,231.71932086134683,14.112517007070421,36.779020134510354,0.012203337053066006,8.390770317592393,1087993.7247508846,1087993.7247508846,-2799.9370735911166,78.03130739723385,79.99839360129609,275.56559294975244,86.9515555798358,88.80722121576432,30.01450058846535,1978.5575934272667,976.264722989717,900.0518546328055
337,181.37261130963364,367.0,548.3726113096336,508.4428301517648,50.14923700821113,45.25896724259207,1613.7332466381333,21.480075274891625,-35.733389329275354,0.06771442760870401,861.1302039206303,848.5762473140104,16942.860939688657,3015.8292472645803,19958.690186953238,1.2600325384844027,16.756504413253587,56.414458538189116,-143.58648561932642,-2399.9460630781014,186.51922058450933,7.296009926307402,-8.34257211735905,1.500074408452801,124.33997909269583,0.5581892450988755,5.092972005890237,198.25888351674786,11.739662932238518,36.71278689754297,0.010460043895487355,7.124603828405518,1087993.7247508846,1087993.7247508846,-2399.946063078101,77.97301319119609,79.99808227313629,310.1839466350169,93.50475266414003,88.50774703873067,30.0167911106336,1695.925749109483,969.4160917014345,900.0542878391451
338,182.56014541793843,367.0,549.5601454179384,509.6210561661348,50.26668677768905,45.36496397527578,1613.735897925748,21.479546329475884,-34.03708618048611,0.06972061175192,861.0669358917127,849.1239968030461,16942.44372287219,3015.7549826712498,19958.19870554344,1.2600269786692708,13.963828443168987,47.012300496185894,-119.65540468277186,-1999.9550525650816,155.43199798338344,6.235176078819145,-7.047944549190615,1.2500620070439994,124.33943045027891,0.8782578145194018,3.5655930035573533,164.9536191452487,9.521621161865264,36.654541538239314,0.008716749917666192,5.881822064242309,1087993.7247508846,1087993.7247508846,-1999.9550525650816,77.84132653458045,79.99765394552885,344.66743702088615,94.60446542112385,87.83551589890033,30.019834434204146,1413.2953795782364,954.3260577992891,900.0580923361917
339,183.76496892033643,367.0,550.7649689203365,510.8165147531844,50.385736628528676,45.47240475844271,1613.7383646077365,21.479062352372257,-32.27907256921299,0.07179416908903528,861.0045385267376,849.6933440704958,16942.061975757257,3015.6870316847912,19957.74900744205,1.2600348564653954,11.171150376509518,37.61013539560212,-95.72432374621727,-1599.9640420520616,124.34637580599166,5.111913646488114,-5.717640897350574,1.0000496056351997,124.34020783100134,1.1555857861319203,2.2104201653143565,131.7756393944254,7.429263588433742,36.60252858454892,0.006973454631083905,4.662011433218842,1087993.7247508846,1087993.7247508846,-1599.9640420520616,78.26458449404448,79.99702647636539,379.04087535875914,92.75252913387247,90.03638564523033,30.024309991759907,1130.6697997981485,932.323615760874,900.0803958613106
340,171.4784046851214,362.0,533.4784046851214,493.88495370350256,49.12616664253443,44.33566090875,1612.1739045367995,21.299574113970536,-46.886892379029334,0.054630893599759055,861.8964586174039,845.3055976218856,16800.48685441191,2990.4866600853197,19790.97351449723,1.351208071735385,44.682983942864524,150.43509570012085,-382.8972949848704,-6399.856168208269,533.3751707517542,24.47196998457787,-31.657520618063558,4.000198422540799,133.33717841250768,7.996357891041033,4.666026040472098,559.3215904545399,25.94641970278561,38.839850439446494,0.027892808780215345,20.441693595978034,1087993.7247508846,1087993.7247508846,-6399.856168208269,50.0166467673667,79.99992243882387,-65.43663675103724,42.66962630509683,25.01677358168839,48.52292548988393,7056.721841846785,937.8742886132812,955.1398315305711
341,171.70822725391147,362.0,533.7082272539114,494.1189999680975,49.16448674484913,44.37024425156556,1612.1984157898578,21.29305841228335,-46.91910536110545,0.05464213719200366,861.8422246562811,845.2365499101629,16795.347457729273,2989.5718474758105,19784.919305205083,1.3266122705958319,41.8903024973629,141.03291922392162,-358.9662140483163,-5999.865157695257,490.9370972018828,20.09867761795802,-25.77281164544943,3.7501860211320026,130.91006537688824,7.996318458887656,4.454289700629652,516.9038083178226,25.966711115939795,38.2872717220715,0.026149511384432,19.16408747252948,1087993.7247508846,1087993.7247508846,-5999.865157695258,50.01373516837363,79.99991279282528,-22.784808349725186,40.13991948459997,25.013875278749886,49.27082470434206,5795.641745800299,950.9991173205609,964.3751240771692
342,171.93625647091824,362.0,533.9362564709182,494.3506845805626,49.20137610669922,44.40353637162913,1612.2216691133224,21.28707016296633,-46.952448367008735,0.054652840027522354,861.788903898351,845.1680436203703,16790.62410019202,2988.7310898341793,19779.3551900262,1.2997106863469472,39.09761773891469,131.63073159395887,-335.0351331117613,-5599.87414718223,448.9162296979671,15.235440102782931,-19.64931991315858,3.5001736197232014,128.25541772224088,7.997070717153895,4.492564631619069,474.90287320704255,25.98664350907546,37.688834644198664,0.02440621192058186,17.886481758757576,1087993.7247508846,1087993.7247508846,-5599.874147182231,50.009907510001696,79.99990854764157,19.447811373519897,40.08055314247411,25.01005242467958,50.042152590537,4393.281797792544,966.3500438316271,975.3544715207573
343,172.17034656647593,362.0,534.1703465664759,494.58760368828797,49.23717757697554,44.4358466851481,1612.2431444164479,21.28178632745053,-46.97410296962437,0.05467859392148146,861.736638632717,845.1049525310835,16786.456363849073,2987.989232765135,19774.44559661421,1.2922857668441312,36.30518848099866,122.22940416274781,-311.10405217520713,-5199.8831366692175,414.4694212717053,12.746550710546554,-16.143925848764052,3.2501612183144,127.52272685311824,0.8911283774675475,7.994912162617795,436.58791399545424,22.118492723748922,37.31335537170314,0.022663071949828868,16.60716424993122,1087993.7247508846,1087993.7247508846,-5199.883136669216,78.00855763692775,79.99934064392924,57.9996896928336,94.92687624069738,88.68423635363165,50.7518464090769,3674.373081243974,953.6997171100855,900.0793087248114
344,173.47714205363977,362.0,535.4771420536398,495.8823863479934,49.36570117098774,44.55183738567154,1612.2427296428625,21.281947814780345,-45.35071812460495,0.056704099147669544,861.6606177545692,845.622352923785,16786.583740375347,2988.011905786811,19774.595646162157,1.2893908168951225,33.51254936503305,112.82737019824408,-287.1729712386528,-4799.892126156202,381.73009482021246,12.261357609874443,-15.267711132313948,3.0001488169056016,127.23705326522256,0.025360825829121216,7.996431420313141,401.8970077965841,20.166912976371645,37.2108400397346,0.02091980097774276,15.13055445169114,1087993.7247508846,1087993.7247508846,-4799.892126156201,75.77951175854956,79.99917905739167,93.98537855140889,94.96565455236697,78.2224095482559,30.008107841846325,3391.7315611372223,958.1468306824961,900.0260310342678
