,flow_mass,flow_mol,temperature,pressure,enth_mol,vapor_frac,"('flow_mol_comp', 'O2')","('flow_mol_comp', 'N2')","('flow_mol_comp', 'NO')","('flow_mol_comp', 'CO2')","('flow_mol_comp', 'H2O')","('flow_mol_comp', 'SO2')"
PA04,54.69772372923597,1901.2901269566976,646.2618325624757,86137.25656137477,8376.856220254178,,395.16412457527923,1490.5999936598896,0.001901290052806386,0.6413792851236534,14.880826856299741,0.001901290052806386
S001,183.0702420664766,10161.942643493556,813.8257570051101,12058568.798472628,62277.04942962767,1.0,,,,,10161.942643493556,
S002,183.0702420664766,10161.942643493556,805.6719764028285,10109318.565916672,62277.04942962767,1.0,,,,,10161.942643493556,
S005,164.4540614015396,9128.587587955313,623.5237911859907,3054446.7509693275,56130.90895174901,1.0,,,,,9128.587587955313,
S006,18.616180664936973,1033.3550555382415,623.5237911859907,3054446.7509693275,56130.90895174901,1.0,,,,,1033.3550555382415,
S007,0.0,0.0,623.5237911859907,3054446.7509693275,56130.90895174901,1.0,,,,,0.0,
S009,164.4540614015396,9128.587587955313,814.3004474713939,2876230.8791521452,63971.28924884658,1.0,,,,,9128.587587955313,
S010,4.66680865252097,259.0472450342692,668.2102934918864,1091537.7732891056,58594.189991625484,1.0,,,,,259.0472450342692,
S011,4.566168974503582,253.4608940024014,611.2372405653012,710631.0760696392,56549.548791656,1.0,,,,,253.4608940024014,
S012,146.39696032551643,8126.266165472667,611.2372405653012,710631.0760696392,56549.548791656,1.0,,,,,8126.266165472667,
S014,9.695552480010695,538.1849452248699,521.2828803610428,303906.4287344276,53396.154397715436,1.0,,,,,538.1849452248699,
S015,4.26240164818793,236.59924509571482,422.5356355727351,107323.05931911085,49989.57356694445,1.0,,,,,236.59924509571482,
S016,8.751146738527748,485.7624604517802,374.64225033558955,59825.633892540915,48355.208938920216,1.0,,,,,485.7624604517802,
S017,123.68785945879007,6865.719514700302,306.9927752782138,5278.625719297969,44108.892004395304,0.9528838958776672,,,,,6865.719514700302,
S018,3750.6372040662536,208192.00168225268,288.8227133333333,500000.0,1193.9612982429262,0.0,,,,,208192.00168225268,
S020,3750.6372040662536,208192.00168225268,307.0165235592783,500000.0,2564.3344420071494,0.0,,,,,208192.00168225268,
S022,123.68785945879007,6865.719514700302,306.9927752782138,5278.625719297969,2554.5105239090794,2.6652640022531527e-15,,,,,6865.719514700302,
S024,129.11271839340148,7166.844944591562,294.16494398543585,2490.302051114284,2515.918246126186,0.02100832600854701,,,,,7166.844944591562,
S025,129.11271839340148,7166.844944591562,306.4793596845297,9340.410623930611,2515.918246126186,0.0,,,,,7166.844944591562,
S026,129.11271839340148,7166.844944591562,306.63611557807974,1859493.9227581392,2557.793196289411,0.0,,,,,7166.844944591562,
S026b,128.85449295661468,7152.511254702379,306.63611557807974,1859493.9227581392,2557.793196289411,0.0,,,,,7152.511254702379,
S027,0.1291127183934015,7.1668449445915625,306.63611557807974,1859493.9227581392,2557.793196289411,0.0,,,,,7.1668449445915625,
S028,0.1291127183934015,7.1668449445915625,306.63611557807974,1859493.9227581392,2557.793196289411,0.0,,,,,7.1668449445915625,
S029,128.85449295661468,7152.511254702379,306.8841644733605,710631.0760696392,2557.793196289411,0.0,,,,,7152.511254702379,
S030,22.709100866726374,1260.546650772365,359.0028463556898,62357.30820008096,6478.316302734765,0.0,,,,,1260.546650772365,
S031a,128.85449295661468,7152.511254702379,344.0333987205351,710631.0760696392,5356.327791824229,0.0,,,,,7152.511254702379,
S031b,151.56359382334108,8413.057905474745,346.29044539917277,710631.0760696392,5526.696990008239,0.0,,,,,8413.057905474745,
S032,13.957954128198626,774.7841903205848,353.4375482901749,109826.38306544888,6057.977044577007,0.0,,,,,774.7841903205848,
S032b,13.957954128198626,774.7841903205848,353.44702320885244,59825.633892540915,6057.977044577007,0.0,,,,,774.7841903205848,
S033,151.56359382334108,8413.057905474745,363.35958380347967,710631.0760696392,6817.272406861747,0.0,,,,,8413.057905474745,
S034,9.695552480010695,538.1849452248699,364.77938716635197,306342.3734220613,6919.210983656172,0.0,,,,,538.1849452248699,
S034b,9.695552480010695,538.1849452248699,364.8158269595809,107323.05931911085,6919.210983656172,0.0,,,,,538.1849452248699,
S035,151.56359382334108,8413.057905474745,402.3914497043127,710631.0760696392,9790.411487390087,0.0,,,,,8413.057905474745,
S036,183.67070658979762,10195.273489493231,437.43056153165173,710631.0760696392,12504.630483722227,0.0,,,,,10195.273489493231,
S036b,183.67070658979762,10195.273489493231,437.419509933276,795344.1150482949,12504.630483722227,0.0,,,,,10195.273489493231,
S037,183.67070658979762,10195.273489493231,439.7559113629105,13352711.74170856,12816.659173699743,0.0,,,,,10195.273489493231,
S038,183.67070658979762,10195.273489493231,437.555865668619,1521972.935565226,12522.741649069047,0.0,,,,,10195.273489493231,
S039,23.28298931745794,1292.4023005725105,449.7793781439248,1093847.0308272948,13480.406778924116,0.0,,,,,1292.4023005725105,
S039b,23.28298931745794,1292.4023005725105,438.7064034859751,710631.0760696392,13480.406778924116,0.02355589585515102,,,,,1292.4023005725105,
S040,183.61593912182593,10192.233433053825,456.39781710460227,13352711.74170856,14116.796194868853,0.0,,,,,10192.233433053825,
S041,18.616180664936973,1033.3550555382415,468.55762900993636,3056592.6514733983,14994.599555164306,0.0,,,,,1033.3550555382415,
S041b,18.616180664936973,1033.3550555382415,456.8700851081682,1091537.7732891056,14994.599555164306,0.02639584248419075,,,,,1033.3550555382415,
S042,183.61593912182593,10192.233433053825,508.0409486981595,13352711.74170856,18287.46335632628,0.0,,,,,10192.233433053825,
S043,8.824123448998616,489.8132834459756,611.2372405653012,710631.0760696392,56549.548791656,1.0,,,,,489.8132834459756,
S045,22.709100866726374,1260.546650772365,359.0812497257897,710631.0760696392,6493.3947371476115,0.0,,,,,1260.546650772365,
S046,4.566168974503582,253.4608940024014,294.16494398543585,2490.302051114284,44726.937817450176,0.9769267933826989,,,,,253.4608940024014,
S047,4.566168974503582,253.4608940024014,294.16494398543585,2490.302051114284,1588.241994883505,5.449844102062311e-15,,,,,253.4608940024014,
