,flow_mass,flow_mol,temperature,pressure,enth_mol,vapor_frac,"('flow_mol_comp', 'O2')","('flow_mol_comp', 'N2')","('flow_mol_comp', 'NO')","('flow_mol_comp', 'CO2')","('flow_mol_comp', 'H2O')","('flow_mol_comp', 'SO2')"
fwh1.SMX,22.356968118747112,1241.0003129980278,358.9079105572964,59603.43494283767,21983.25828652266,0.375453039080302,,,,,1241.0003129980278,
fwh2.FW1,151.51970944030157,8410.62195204857,348.5982976921224,707991.7145041139,5700.92336908975,0.0,,,,,8410.62195204857,
fwh2.SC,13.90876397648758,772.0537219786524,374.6412126930319,109427.97296912709,7664.779533041051,0.0,,,,,772.0537219786524,
fwh2.SMX,13.90876397648758,772.0537219786524,374.6416565654794,106924.44973475643,19896.40401011449,0.3014298082994521,,,,,772.0537219786524,
fwh3.FW1,151.51970944030157,8410.62195204857,366.16045758694764,707991.7145041139,7029.433740379009,0.0,,,,,8410.62195204857,
fwh3.SC,9.699514762540858,538.4048853273919,406.9901036552968,305213.9194215526,10138.75280461326,0.0,,,,,538.4048853273919,
fwh5.FW1,183.64606709841314,10193.905789885759,440.5091658182583,13279654.203422122,12874.408933478579,0.0,,,,,10193.905789885759,
fwh5.FW2,183.64606709841314,10193.905789885759,453.5070583444115,13279654.203422122,13889.07308288113,0.0,,,,,10193.905789885759,
fwh5.SC,23.316866022682223,1294.28274346456,456.7051630239871,1089793.4076641763,14029.988749526809,0.0,,,,,1294.28274346456,
fwh5.SDS,4.6691617489337425,259.1778617336917,458.1956375688389,1087483.6825757187,50160.182840265625,1.0,,,,,259.1778617336917,
fwh5.SMX,23.316866022682223,1294.28274346456,456.7054175239585,1087483.6825757187,22021.589348092188,0.221639968065563,,,,,1294.28274346456,
fwh6.FW1,183.64606709841314,10193.905789885759,460.33156930682424,13279654.203422122,14425.950356876689,0.0,,,,,10193.905789885759,
fwh6.FW2,183.64606709841314,10193.905789885759,503.174336692643,13279654.203422122,17882.538086084765,0.0,,,,,10193.905789885759,
fwh6.SC,18.647704273748484,1035.1048817308686,507.78013303194564,3044327.7469792846,18231.824757401653,0.0,,,,,1035.1048817308686,
fwh6.SDS,18.647704273748484,1035.1048817308686,539.0544910320235,3042181.041919281,52272.944925921736,1.0,,,,,1035.1048817308686,
"hp_stream[(1, 1)]",183.1002715179507,10163.609531350647,744.8925287555913,7201504.7333569825,60164.40271941532,1.0,,,,,10163.609531350647,
"hp_stream[(10, 1)]",183.1002715179507,10163.609531350647,655.7718258117778,3965840.735968642,57175.507073619076,1.0,,,,,10163.609531350647,
"hp_stream[(11, 1)]",183.1002715179507,10163.609531350647,646.4933039386937,3711485.0535516776,56865.19887410445,1.0,,,,,10163.609531350647,
"hp_stream[(12, 1)]",183.1002715179507,10163.609531350647,637.3356034316424,3473442.8888690555,56559.0685880172,1.0,,,,,10163.609531350647,
"hp_stream[(13, 1)]",183.1002715179507,10163.609531350647,628.2976905740827,3250667.947777315,56257.06877146805,1.0,,,,,10163.609531350647,
"hp_stream[(14, 1)]",183.1002715179507,10163.609531350647,619.3785465949661,3042181.041919281,55959.152450473615,1.0,,,,,10163.609531350647,
"hp_stream[(2, 1)]",183.1002715179507,10163.609531350647,734.4779926115158,6739624.447981726,59814.25901667824,1.0,,,,,10163.609531350647,
"hp_stream[(3, 1)]",183.1002715179507,10163.609531350647,724.194128778853,6307367.610193775,59468.74896669392,1.0,,,,,10163.609531350647,
"hp_stream[(4, 1)]",183.1002715179507,10163.609531350647,714.0398054196058,5902834.271727866,59127.81866102884,1.0,,,,,10163.609531350647,
"hp_stream[(5, 1)]",183.1002715179507,10163.609531350647,704.0138973320825,5524246.340608421,58791.41517851545,1.0,,,,,10163.609531350647,
"hp_stream[(6, 1)]",183.1002715179507,10163.609531350647,694.1152872918359,5169939.765697093,58459.486501363644,1.0,,,,,10163.609531350647,
"hp_stream[(7, 1)]",183.1002715179507,10163.609531350647,684.3428672448085,4838357.222497133,58131.98143949255,1.0,,,,,10163.609531350647,
"hp_stream[(8, 1)]",183.1002715179507,10163.609531350647,674.6955393762555,4528041.268065664,57808.849562289775,1.0,,,,,10163.609531350647,
"hp_stream[(9, 1)]",183.1002715179507,10163.609531350647,665.1722170753131,4237627.934946852,57490.041137075976,1.0,,,,,10163.609531350647,
inlet_to_hp_stream,183.1002715179507,10163.609531350647,755.4388741692084,7695038.621935933,60519.23506358786,1.0,,,,,10163.609531350647,
"ip_stream[(1, 1)]",164.45256724420219,9128.504649619777,778.6788669815228,2436400.233545991,62616.549947171254,1.0,,,,,9128.504649619777,
"ip_stream[(2, 1)]",164.45256724420219,9128.504649619777,753.4206839070541,2071521.9548505086,61682.9652356419,1.0,,,,,9128.504649619777,
"ip_stream[(3, 1)]",164.45256724420219,9128.504649619777,729.8171086073594,1769294.0829287278,60816.47084241691,1.0,,,,,9128.504649619777,
"ip_stream[(4, 1)]",164.45256724420219,9128.504649619777,705.848238212892,1504322.4372210975,59940.64719810302,1.0,,,,,9128.504649619777,
"ip_stream[(5, 1)]",164.45256724420219,9128.504649619777,682.5241374386642,1279033.2692351984,59093.218718756936,1.0,,,,,9128.504649619777,
"ip_stream[(6, 1)]",164.45256724420219,9128.504649619777,659.8360328208611,1087483.6825757187,58273.451746471466,1.0,,,,,9128.504649619777,
"ip_stream[(6, 2)]",159.78340549526854,8869.32678788609,659.8360328208611,1087483.6825757187,58273.451746471466,1.0,,,,,8869.32678788609,
"ip_stream[(7, 1)]",159.78340549526854,8869.32678788609,640.5652494149338,942521.4105838109,57581.16349089164,1.0,,,,,8869.32678788609,
"ip_stream[(8, 1)]",159.78340549526854,8869.32678788609,621.7659829716822,816882.7023729099,56908.850443410796,1.0,,,,,8869.32678788609,
"ip_stream[(9, 1)]",159.78340549526854,8869.32678788609,603.4321087777602,707991.7145041139,56256.04513631679,1.0,,,,,8869.32678788609,
ip_to_lp_stream,146.29471732272273,8120.59081639157,603.4321087777602,707991.7145041139,56256.04513631679,1.0,,,,,8120.59081639157,
"lp_stream[(1, 1)]",146.29471732272273,8120.59081639157,557.374646783781,462994.70163115434,54639.792271293176,1.0,,,,,8120.59081639157,
"lp_stream[(2, 1)]",146.29471732272273,8120.59081639157,514.4211837556373,302777.6870081945,53145.469704302464,1.0,,,,,8120.59081639157,
"lp_stream[(2, 2)]",136.5952025601819,7582.1859310641785,514.4211837556373,302777.6870081945,53145.469704302464,1.0,,,,,7582.1859310641785,
