,,Units,Description,
lean_rich_heat_exchanger,hot_side_inlet_h2o_mole_frac,,"H2O mole fraction of the cross heat exchanger hot side inlet stream (i.e., lean solvent pump outlet stream)",
lean_rich_heat_exchanger,hot_side_inlet_mea_mole_frac,,"MEA mole fraction of the cross heat exchanger hot side inlet stream (i.e., lean solvent pump outlet stream)",
lean_rich_heat_exchanger,hot_side_inlet_co2_mole_frac,,"CO2 mole fraction of the cross heat exchanger hot side inlet stream (i.e., lean solvent pump outlet stream)",
lean_rich_heat_exchanger,hot_side_outlet_flow,kmol/s,Molar flow rate of the cross heat exchanger hot side outlet stream,
lean_rich_heat_exchanger,hot_side_outlet_temp,K,Absolute temperature of the cross heat exchanger hot side outlet stream,
lean_rich_heat_exchanger,hot_side_outlet_pressure,Pa,Absolute pressure of the cross heat exchanger hot side outlet stream,
lean_rich_heat_exchanger,hot_side_outlet_h2o_mole_frac,,H2O mole fraction of the cross heat exchanger hot side outlet stream,
lean_rich_heat_exchanger,hot_side_outlet_mea_mole_frac,,MEA mole fraction of the cross heat exchanger hot side outlet stream,
lean_rich_heat_exchanger,hot_side_outlet_co2_mole_frac,,CO2 mole fraction of the cross heat exchanger hot side outlet stream,
rich_solvent_pump,flow_mol,kmol/s,Molar flow rate of the rich solvent pump inlet stream (i.e. absorber liquid outlet stream),
rich_solvent_pump,inlet_flow_vol,m^3/s,Volumetric flow rate of the rich solvent pump inlet stream (i.e. absorber liquid outlet stream),
rich_solvent_pump,inlet_temp,K,Absolute temperature of the rich solvent pump inlet stream (i.e. absorber liquid outlet stream),
rich_solvent_pump,inlet_pressure,Pa,Absolute pressure of the rich solvent pump inlet stream (i.e. absorber liquid outlet stream),
rich_solvent_pump,outlet_flow_vol,m^3/s,Volumetric flow rate of the rich solvent pump outlet stream,
rich_solvent_pump,outlet_temp,K,Absolute temperature of the rich solvent pump outlet stream,
rich_solvent_pump,outlet_pressure,Pa,Absolute pressure of the rich solvent pump outlet stream,
rich_solvent_pump,deltaP,Pa,Pressure change induced by the rich solvent pump,
rich_solvent_pump,power,W,Power of the rich solvent pump,
rich_solvent_pump,max_power,W,Nameplate power of the rich solvent pump,
lean_solvent_pump,flow_mol,kmol/s,Molar flow rate of the lean solvent pump inlet stream (i.e. reboiler liquid outlet stream),
lean_solvent_pump,inlet_flow_vol,m^3/s,Volumetric flow rate of the lean solvent pump inlet stream (i.e. reboiler liquid outlet stream),
lean_solvent_pump,inlet_temp,K,Absolute temperature of the lean solvent pump inlet stream (i.e. reboiler liquid outlet stream),
lean_solvent_pump,inlet_pressure,Pa,Absolute pressure of the lean solvent pump inlet stream (i.e. reboiler liquid outlet stream),
lean_solvent_pump,outlet_flow_vol,m^3/s,Volumetric flow rate of the lean solvent pump outlet stream,
lean_solvent_pump,outlet_temp,K,Absolute temperature of the lean solvent pump outlet stream,
lean_solvent_pump,outlet_pressure,Pa,Absolute pressure of the lean solvent pump outlet stream,
lean_solvent_pump,deltaP,Pa,Pressure change induced by the lean solvent pump,
lean_solvent_pump,power,W,Power of the lean solvent pump,
lean_solvent_pump,max_power,W,Nameplate power of the lean solvent pump,
other_streams,mea_recirculation_rate,kmol/s,"MEA recirculation rate, i.e., component flow rate of MEA in the lean solvent stream",
other_streams,h2o_makeup,kmol/s,H2O makeup flow rate,
flowsheet_obj,obj,,[Deprecated] Flowsheet proxy objective value,
flowsheet_obj,capex_cost,,[Deprecated] Flowsheet proxy CAPEX cost,
flowsheet_obj,absorber_capex_cost,,[Deprecated] Absorber proxy CAPEX cost,
flowsheet_obj,rich_pump_capex_cost,,[Deprecated] Rich solvent pump proxy CAPEX cost,
flowsheet_obj,stripper_capex_cost,,[Deprecated] Stripper column proxy CAPEX cost,
flowsheet_obj,lean_rich_hex_capex_cost,,[Deprecated] Cross heat exchanger proxy CAPEX cost,
flowsheet_obj,reboiler_capex_cost,,[Deprecated] Reboiler proxy CAPEX cost,
flowsheet_obj,condenser_capex_cost,,[Deprecated] Condenser proxy CAPEX cos,
flowsheet_obj,opex_cost,,[Deprecated] Flowsheet proxy OPEX cost,
flowsheet_obj,mea_recirculation_opex_cost,,[Deprecated] MEA recirculation proxy OPEX cost,
flowsheet_obj,h2o_makeup_opex_cost,,[Deprecated] H2O makeup proxy OPEX cost,
flowsheet_obj,rich_pump_opex_cost,,[Deprecated] Rich solvent pump proxy OPEX cost,
flowsheet_obj,reboiler_steam_opex_cost,,[Deprecated] Reboiler steam proxy OPEX cost,
flowsheet_obj,condenser_cw_opex_cost,,[Deprecated] Condenser cooling water proxy OPEX cost,
flowsheet_obj,condenser_h2o_vapor_mole_frac_opex_cost,,[Deprecated] Condenser H2O vapor outlet mole  fraction proxy OPEX cost,
flowsheet_obj,condenser_cw_temperature_outlet_opex_cost,,[Deprecated] Condenser cooling water temperature proxy OPEX cost,
solver_termination,total_solve_time,s,Total wall clock time used by the deterministic optimization solver ,
solver_termination,termination_condition,,Pyomo termination condition returned by the deterministic optimization solver,
solver_termination,message,,Message returned by the deterministic optimization solver,
presolver_termination,total_solve_time,s,Total wall clock time used by the optimizer used to pre-solve the deterministic flowsheet model ,
presolver_termination,termination_condition,,Pyomo termination condition returned by the optimizer used to pre-solve the deterministic flowsheet model ,
presolver_termination,message,,Message returned by the optimizer used to pre-solve the deterministic flowsheet model ,
pyros_solver_termination,total_solve_time,s,Total wall clock time used by the PyROS metasolver,
pyros_solver_termination,iterations,,Total number of iterations elapsed by the PyROS metasolver,
pyros_solver_termination,pyros_termination_condition,,PyROS termination condition returned by the PyROS metasolver,
pyros_solver_termination,final_objective_value,,Final objective value returned by the PyROS metasolver,
pyros_solver_termination,ellipsoid_num_std,,"Size of the ellipsoidal uncertainty set passed to the PyROS solver, measured in Mahalanobis distance units (number of standard deviations) from the center",
pyros_solver_termination,ellipsoid_gaussian_conf_lvl,%,Gaussian confidence level (reported as a percentage) of the ellipsoidal uncertainty set passed to the PyROS solver,
ccs_costing,fs.costing.absorber_column_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the absorber column,
ccs_costing,fs.costing.absorber_packing_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the absorber packing,
ccs_costing,fs.costing.lean_rich_hex_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the cross heat exchanger,
ccs_costing,fs.costing.rich_solvent_pump_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the rich solvent pump,
ccs_costing,fs.costing.lean_solvent_pump_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the lean solvent pump,
ccs_costing,fs.costing.stripper_column_cost,Million USD (2018),Total plant cost (TPC) term corresponding to the stripper column,
