Name,Year,Reference,NGCC,SOFC,NGCC + SOEC,rSOC,SOFC + SOEC,SOEC,SMR,ATR,Natural Gas Price,Carbon Tax,Hydrogen Price,Mean LMP,Minimum LMP,25th Percentile,50th Percentile,75th Percentile ,Maximum LMP,Standard Deviation,Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Data labels,NGCC.1,SOFC.1,NGCC + SOEC.1,rSOC.1,SOFC + SOEC,SOEC.1,SMR.1,ATR.1,Passes Neither Test,Passes Bimodality Test Only,Passes Dip Test Only,Passes both tests. Bimodal.,NGCC_H2,NGCC_power,SOFC_H2,SOFC_power,NGCC + SOEC_H2,NGCC + SOEC_power,rSOC_H2,rSOC_power,SOFC + SOEC_H2,SOFC + SOEC_power,SOEC_H2,SOEC_power,Combined_Bimodal_Criteria
MISO_LOUISIANA_2019,2019,1,-157.4505874,-64.40877349,-57.23685505,47.27049641,77.42211696,95.40806096,142.4568034,156.2029007,2.73,0,2,24.85890639,-31.26,20.1,22.67,25.8225,968.31,18.6433652,23.63363018,909.8401734,0.612974606,0.002349458,-17.985944,0,0,0,1,1,1,1,1,0,1,0,0,0,0.283988409,0,0.971891552,0.979688862,0.020063688,0.926940639,0.073059361,0.979440124,0.022467421,0.983378995,0,0.001440158
MISO_LOUISIANA_2019,2019,1,-156.5927654,-64.40877349,-206.8436668,-63.55173082,-68.42189158,-53.00350954,-15.2231966,-1.477099314,2.73,0,1,24.85890639,-31.26,20.1,22.67,25.8225,968.31,18.6433652,23.63363018,909.8401734,0.612974606,0.002349458,-15.41838204,0,0,0,0,0,0,0,0,0,1,0,0,0,0.283988409,0,0.97189177,0.708757266,0.269497435,0.218150685,0.781849314,0.693705397,0.307598512,0.74607286,0,0.001440158
MISO_LOUISIANA_2019,2019,1,-156.5927654,-64.40877349,-133.6612931,-21.84456014,1.055030114,18.55191172,63.6168034,77.36290069,2.73,0,1.5,24.85890639,-31.26,20.1,22.67,25.8225,968.31,18.6433652,23.63363018,909.8401734,0.612974606,0.002349458,-17.49688161,0,0,0,0,1,1,1,1,0,1,0,0,0,0.283988409,0,0.97189177,0.953178208,0.045551084,0.788242009,0.211757991,0.95050913,0.051337023,0.96045662,0,0.001440158
MISO_LOUISIANA_2019,2019,1,-156.5927654,-64.40877349,20.38166331,121.9274277,155.0150382,173.2350109,221.2968034,235.0429007,2.73,0,2.5,24.85890639,-31.26,20.1,22.67,25.8225,968.31,18.6433652,23.63363018,909.8401734,0.612974606,0.002349458,-18.21997274,0,0,1,1,1,1,1,1,0,1,0,0,0,0.283988409,0,0.97189177,0.987955411,0.01193612,0.960273972,0.039726027,0.987926544,0.013998677,0.990045662,0,0.001440158
MISO_LOUISIANA_2019,2019,1,-156.5927654,-64.40877349,98.44757518,198.3320581,233.0688365,251.4312715,300.1368034,313.8829007,2.73,0,3,24.85890639,-31.26,20.1,22.67,25.8225,968.31,18.6433652,23.63363018,909.8401734,0.612974606,0.002349458,-18.36243508,0,0,1,1,1,1,1,1,0,1,0,0,0,0.283988409,0,0.97189177,0.991904366,0.008045982,0.976484018,0.023515982,0.991689938,0.01024335,0.993324325,0,0.001440158
ERCOT_WEST_2019,2019,1,-121.286492,-41.007299,-11.97987162,106.7706649,123.5491882,115.4099907,151.9946188,164.721623,2.39,0,2,26.20113035,-24.6412,14.519225,18.79145,24.54135,4697.196,107.584265,31.66664281,1160.646047,0.862612289,0.005114604,8.139197525,0,0,0,1,1,1,1,1,0,1,0,0,0,0.296345276,0,0.854081444,0.95854339,0.041083134,0.890296804,0.109703196,0.957621439,0.043863128,0.956027397,0,0.00441192
ERCOT_WEST_2019,2019,1,-120.391782,-41.007299,-155.0265797,-13.30729994,-19.20185686,-27.68248999,-5.685381189,7.041623027,2.39,0,1,26.20113035,-24.6412,14.519225,18.79145,24.54135,4697.196,107.584265,31.66664281,1160.646047,0.862612289,0.005114604,8.480633132,0,0,0,0,0,0,0,1,0,1,0,0,0,0.296345276,0,0.854081418,0.730995176,0.26516937,0.513242008,0.48675799,0.761181398,0.239890394,0.786483731,0,0.00441192
ERCOT_WEST_2019,2019,1,-120.391782,-41.007299,-86.56501882,40.13246615,49.0291486,41.29353514,73.15461881,85.88162303,2.39,0,1.5,26.20113035,-24.6412,14.519225,18.79145,24.54135,4697.196,107.584265,31.66664281,1160.646047,0.862612289,0.005114604,7.735613457,0,0,0,1,1,1,1,1,0,1,0,0,0,0.296345276,0,0.854081418,0.927627321,0.07099098,0.782990867,0.217009132,0.925815226,0.075600906,0.930890345,0,0.00441192
ERCOT_WEST_2019,2019,1,-120.391782,-41.007299,64.14375838,178.981244,199.6389969,191.6805905,230.8346188,243.561623,2.39,0,2.5,26.20113035,-24.6412,14.519225,18.79145,24.54135,4697.196,107.584265,31.66664281,1160.646047,0.862612289,0.005114604,7.958406425,0,0,1,1,1,1,1,1,0,1,0,0,0,0.296345276,0,0.854081418,0.970306712,0.029550289,0.93413242,0.06586758,0.969997964,0.031512826,0.970935825,0,0.00441192
ERCOT_WEST_2019,2019,1,-120.391782,-41.007299,140.9423227,253.4133692,276.411711,268.4621473,309.6746188,322.401623,2.39,0,3,26.20113035,-24.6412,14.519225,18.79145,24.54135,4697.196,107.584265,31.66664281,1160.646047,0.862612289,0.005114604,7.949563674,0,0,1,1,1,1,1,1,0,1,0,0,0,0.296345276,0,0.854081418,0.977829762,0.02204174,0.952054794,0.047945205,0.977195959,0.024327805,0.97655062,0,0.00441192
PJM_WEST_2019,2019,1,-143.5445582,-46.96342302,-42.22775663,52.91314466,90.80277455,88.73898554,150.7652148,163.5066633,2.43,0,2,26.37999397,-52.9956,19.622275,23.1215,27.567725,746.5853,22.95333868,17.2221017,426.5396343,0.692834959,0.002748634,2.063789016,0,0,0,1,1,1,1,1,0,1,0,0,0,0.521545486,0,0.985037699,0.966586557,0.032922235,0.874657534,0.125342466,0.96529006,0.036644782,0.971872146,0,0.00190435
PJM_WEST_2019,2019,1,-142.6590702,-46.96342302,-182.4321053,-46.0699506,-48.95393944,-53.29308129,-6.914785158,5.826663271,2.43,0,1,26.37999397,-52.9956,19.622275,23.1215,27.567725,746.5853,22.95333868,17.2221017,426.5396343,0.692834959,0.002748634,-1.99051642,0,0,0,0,0,0,0,1,0,1,0,0,0,0.521545486,0,0.985037775,0.591974789,0.396249022,0.211187214,0.788812784,0.631340753,0.369890722,0.66333304,0,0.00190435
PJM_WEST_2019,2019,1,-142.6590702,-46.96342302,-116.9426612,-10.10338707,16.1865044,13.29149222,71.92521484,84.66666327,2.43,0,1.5,26.37999397,-52.9956,19.622275,23.1215,27.567725,746.5853,22.95333868,17.2221017,426.5396343,0.692834959,0.002748634,2.895012178,0,0,0,0,1,1,1,1,0,1,0,0,0,0.521545486,0,0.985037775,0.919325542,0.078920987,0.685159817,0.314840182,0.91719606,0.084637609,0.933972602,0,0.00190435
PJM_WEST_2019,2019,1,-142.6590702,-46.96342302,34.68137469,124.3163123,167.6661561,165.9722897,229.6052148,242.3466633,2.43,0,2.5,26.37999397,-52.9956,19.622275,23.1215,27.567725,746.5853,22.95333868,17.2221017,426.5396343,0.692834959,0.002748634,1.693866384,0,0,1,1,1,1,1,1,0,1,0,0,0,0.521545486,0,0.985037775,0.981332155,0.018501339,0.930022831,0.069977169,0.980753073,0.021214255,0.984383485,0,0.00190435
PJM_WEST_2019,2019,1,-142.6590702,-46.96342302,112.3057774,198.8138476,245.2697344,243.7958025,308.4452148,321.1866633,2.43,0,3,26.37999397,-52.9956,19.622275,23.1215,27.567725,746.5853,22.95333868,17.2221017,426.5396343,0.692834959,0.002748634,1.473931886,0,0,1,1,1,1,1,1,0,1,0,0,0,0.521545486,0,0.985037775,0.987967335,0.011905568,0.957305936,0.042694064,0.987603621,0.014378052,0.989610504,0,0.00190435
MISO_INDIANA_2019,2019,1,-151.6975793,-55.76236787,-55.28508641,46.92800248,80.09317613,87.91630675,141.9640226,155.2258757,2.73,0,2,26.40543493,2.26,20.95,23.33,26.67,936.4,21.65415639,19.41167486,575.7270708,0.652833553,0.002054795,-7.823130621,0,0,0,1,1,1,1,1,0,1,0,0,0,0.337585177,0,0.978099142,0.969359733,0.030168139,0.897945205,0.102054795,0.968653326,0.033267866,0.974611872,0,0.001341439
MISO_INDIANA_2019,2019,1,-150.7290933,-55.76236787,-197.7660646,-56.49690793,-61.98822093,-56.7873398,-15.71597743,-2.454124296,2.73,0,1,26.40543493,2.26,20.95,23.33,26.67,936.4,21.65415639,19.41167486,575.7270708,0.652833553,0.002054795,-6.225853055,0,0,0,0,0,0,0,0,0,1,0,0,0,0.337585177,0,0.97809908,0.667586003,0.308061767,0.165753424,0.834246574,0.583507041,0.014624404,0.689154692,0,0.001341439
MISO_INDIANA_2019,2019,1,-150.7290933,-55.76236787,-130.5015432,-19.55181159,4.959761289,12.04633988,63.12402257,76.3858757,2.73,0,1.5,26.40543493,2.26,20.95,23.33,26.67,936.4,21.65415639,19.41167486,575.7270708,0.652833553,0.002054795,-7.086578586,0,0,0,0,1,1,1,1,0,1,0,0,0,0.337585177,0,0.97809908,0.930413486,0.067891811,0.746803652,0.253196347,0.928737811,0.073099256,0.943470319,0,0.001341439
MISO_INDIANA_2019,2019,1,-150.7290933,-55.76236787,21.7040056,119.7093915,157.0457728,165.2207444,220.8040226,234.0658757,2.73,0,2.5,26.40543493,2.26,20.95,23.33,26.67,936.4,21.65415639,19.41167486,575.7270708,0.652833553,0.002054795,-8.17497157,0,0,1,1,1,1,1,1,0,1,0,0,0,0.337585177,0,0.97809908,0.982306157,0.017500375,0.94326484,0.05673516,0.981639587,0.020306799,0.985022831,0,0.001341439
